#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -7.45891            -7.45891                   0
                   2            -7.57744            -7.51818           0.0419082
                   3            -7.58589            -7.54075           0.0334689
                   4            -7.65859            -7.57021           0.0357912
                   5            -7.62184            -7.58053           0.0300861
                   6            -7.70069            -7.60056           0.0310292
                   7            -7.68407            -7.61249           0.0287985
                   8            -7.64669            -7.61677            0.025514
                   9            -7.56862            -7.61142           0.0232332
                  10             -7.5636            -7.60663           0.0213963
                  11            -7.50396             -7.5973           0.0213903
                  12            -7.47241            -7.58689           0.0219943
                  13            -7.46278            -7.57735           0.0222782
                  14            -7.54631            -7.57513           0.0207969
                  15             -7.5327             -7.5723           0.0196019
                  16            -7.51168            -7.56851           0.0187394
                  17            -7.57515             -7.5689           0.0176411
                  18            -7.49488            -7.56479           0.0171337
                  19            -7.43936            -7.55819           0.0174574
                  20            -7.43741            -7.55215            0.017598
                  21             -7.4743            -7.54844           0.0171461
                  22             -7.3506            -7.53945           0.0185758
                  23            -7.36237            -7.53175           0.0192979
                  24            -7.41442            -7.52686           0.0191031
                  25            -7.41262            -7.52229           0.0188776
                  26             -7.4578            -7.51981           0.0183138
                  27            -7.42423            -7.51627           0.0179744
                  28            -7.45185            -7.51397            0.017479
                  29             -7.4963            -7.51336           0.0168869
                  30            -7.53033            -7.51393           0.0163335
                  31            -7.41176            -7.51063           0.0161357
                  32            -7.39866            -7.50713           0.0160063
                  33            -7.44522            -7.50526           0.0156308
                  34            -7.48262            -7.50459           0.0151853
                  35            -7.48171            -7.50394           0.0147654
                  36            -7.53381            -7.50477           0.0143786
                  37            -7.53057            -7.50546           0.0140069
                  38            -7.53704            -7.50629           0.0136629
                  39            -7.55656            -7.50758           0.0133732
                  40            -7.44921            -7.50612           0.0131183
                  41            -7.44312            -7.50459            0.012888
                  42            -7.44293            -7.50312           0.0126645
                  43            -7.50531            -7.50317             0.01237
                  44            -7.63589            -7.50619           0.0124512
                  45            -7.53616            -7.50685           0.0121923
                  46             -7.5312            -7.50738           0.0119388
                  47            -7.50471            -7.50733           0.0116849
                  48            -7.49973            -7.50717           0.0114425
                  49            -7.49057            -7.50683            0.011214
                  50            -7.42372            -7.50517           0.0111123
                  51            -7.49249            -7.50492           0.0108971
                  52            -7.45132            -7.50389           0.0107362
                  53            -7.48348             -7.5035           0.0105406
                  54            -7.55466            -7.50445           0.0103878
                  55            -7.63155            -7.50676           0.0104529
                  56            -7.61623            -7.50872           0.0104474
                  57             -7.5256            -7.50901           0.0102683
                  58            -7.63097            -7.51111           0.0103043
                  59            -7.60306            -7.51267           0.0102468
                  60            -7.55198            -7.51333            0.010097
                  61            -7.56734            -7.51421          0.00997022
                  62            -7.52192            -7.51434          0.00981018
                  63            -7.52825            -7.51456          0.00965695
                  64            -7.47091            -7.51388          0.00953011
                  65            -7.45416            -7.51296          0.00942767
                  66            -7.43768            -7.51182          0.00935357
                  67            -7.44411            -7.51081          0.00926839
                  68            -7.44331            -7.50981          0.00918508
                  69            -7.41727            -7.50847          0.00914936
                  70            -7.45425             -7.5077          0.00905138
                  71            -7.57753            -7.50868          0.00897718
                  72            -7.50996             -7.5087          0.00885252
                  73            -7.54606            -7.50921          0.00874603
                  74            -7.53046             -7.5095          0.00863256
                  75            -7.58507            -7.51051          0.00857605
                  76            -7.59863            -7.51167          0.00854124
                  77            -7.54092            -7.51205          0.00843876
                  78            -7.54848            -7.51251          0.00834349
                  79            -7.57765            -7.51334          0.00827852
                  80            -7.60128            -7.51444           0.0082477
                  81            -7.63064            -7.51587           0.0082697
                  82            -7.67476            -7.51781          0.00839279
                  83            -7.68876            -7.51987          0.00854065
                  84            -7.68278            -7.52181          0.00865639
                  85            -7.71161            -7.52404          0.00883788
                  86            -7.72227            -7.52635          0.00903068
                  87            -7.67961            -7.52811          0.00909708
                  88            -7.69952            -7.53006          0.00919989
                  89            -7.70971            -7.53207          0.00931534
