#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        8.248142e+00        8.248142e+00        0.000000e+00
                   2        7.622966e+00        7.935554e+00        2.210331e-01
                   3        7.561626e+00        7.810911e+00        1.790832e-01
                   4        7.153093e+00        7.646457e+00        1.957646e-01
                   5        7.322670e+00        7.581700e+00        1.669791e-01
                   6        6.885663e+00        7.465694e+00        1.748629e-01
                   7        6.972772e+00        7.395276e+00        1.634472e-01
                   8        7.190910e+00        7.369730e+00        1.449989e-01
                   9        7.627581e+00        7.398380e+00        1.316879e-01
                  10        7.660619e+00        7.424604e+00        1.211021e-01
                  11        7.985170e+00        7.475565e+00        1.203383e-01
                  12        8.155972e+00        7.532265e+00        1.229446e-01
                  13        8.223062e+00        7.585404e+00        1.244421e-01
                  14        7.738300e+00        7.596325e+00        1.160316e-01
                  15        7.830696e+00        7.611950e+00        1.093431e-01
                  16        7.983924e+00        7.635198e+00        1.049516e-01
                  17        7.662285e+00        7.636791e+00        9.879005e-02
                  18        8.102430e+00        7.662660e+00        9.662933e-02
                  19        8.410418e+00        7.702016e+00        9.923496e-02
                  20        8.396443e+00        7.736737e+00        1.001635e-01
                  21        8.199401e+00        7.758769e+00        9.778682e-02
                  22        8.876795e+00        7.809588e+00        1.057258e-01
                  23        8.820654e+00        7.853548e+00        1.098885e-01
                  24        8.508712e+00        7.880846e+00        1.086477e-01
                  25        8.539675e+00        7.907199e+00        1.074503e-01
                  26        8.290988e+00        7.921960e+00        1.043266e-01
                  27        8.473725e+00        7.942396e+00        1.024446e-01
                  28        8.306674e+00        7.955406e+00        9.960852e-02
                  29        8.034767e+00        7.958143e+00        9.621133e-02
                  30        7.845768e+00        7.954397e+00        9.307718e-02
                  31        8.498640e+00        7.971953e+00        9.171547e-02
                  32        8.567287e+00        7.990557e+00        9.071664e-02
                  33        8.335613e+00        8.001013e+00        8.856821e-02
                  34        8.171736e+00        8.006035e+00        8.610548e-02
                  35        8.172538e+00        8.010792e+00        8.377663e-02
                  36        7.859234e+00        8.006582e+00        8.155522e-02
                  37        7.891438e+00        8.003470e+00        7.941037e-02
                  38        7.817900e+00        7.998587e+00        7.747064e-02
                  39        7.731535e+00        7.991739e+00        7.578622e-02
                  40        8.339321e+00        8.000429e+00        7.438806e-02
                  41        8.331508e+00        8.008504e+00        7.301070e-02
                  42        8.332788e+00        8.016225e+00        7.167945e-02
                  43        7.995877e+00        8.015752e+00        7.001404e-02
                  44        7.304063e+00        7.999577e+00        7.026634e-02
                  45        7.803126e+00        7.995211e+00        6.884034e-02
                  46        7.810242e+00        7.991190e+00        6.746115e-02
                  47        7.968441e+00        7.990706e+00        6.602754e-02
                  48        8.022027e+00        7.991359e+00        6.465519e-02
                  49        8.097556e+00        7.993526e+00        6.337201e-02
                  50        8.425772e+00        8.002171e+00        6.269145e-02
                  51        8.046496e+00        8.003040e+00        6.146823e-02
                  52        8.298368e+00        8.008719e+00        6.054796e-02
                  53        8.099014e+00        8.010423e+00        5.942951e-02
                  54        7.706663e+00        8.004798e+00        5.859458e-02
                  55        7.264861e+00        7.991344e+00        5.905349e-02
                  56        7.374229e+00        7.980325e+00        5.901821e-02
                  57        7.921040e+00        7.979284e+00        5.799197e-02
                  58        7.303438e+00        7.967632e+00        5.815102e-02
                  59        7.471468e+00        7.959222e+00        5.777029e-02
                  60        7.738684e+00        7.955547e+00        5.692426e-02
                  61        7.651564e+00        7.950563e+00        5.620878e-02
                  62        7.940725e+00        7.950405e+00        5.530241e-02
                  63        7.904644e+00        7.949678e+00        5.442936e-02
                  64        8.243381e+00        7.954267e+00        5.377202e-02
                  65        8.316369e+00        7.959838e+00        5.323254e-02
                  66        8.386624e+00        7.966305e+00        5.281728e-02
                  67        8.354545e+00        7.972099e+00        5.234587e-02
                  68        8.352737e+00        7.977697e+00        5.187451e-02
                  69        8.455126e+00        7.984616e+00        5.158210e-02
                  70        8.310956e+00        7.989278e+00        5.105545e-02
                  71        7.586696e+00        7.983608e+00        5.065025e-02
                  72        7.947886e+00        7.983112e+00        4.994920e-02
                  73        7.752672e+00        7.979955e+00        4.936461e-02
                  74        7.847120e+00        7.978160e+00        4.873015e-02
                  75        7.579602e+00        7.972846e+00        4.836930e-02
                  76        7.502670e+00        7.966659e+00        4.812687e-02
                  77        7.819314e+00        7.964746e+00        4.753988e-02
