#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        8.000000e-01        8.000000e-01        0.000000e+00
                   2        8.000000e-01        8.000000e-01        0.000000e+00
                   3        8.000000e-01        8.000000e-01        0.000000e+00
                   4        8.000000e-01        8.000000e-01        0.000000e+00
                   5        8.000000e-01        8.000000e-01        4.712161e-09
                   6        8.000000e-01        8.000000e-01        4.301595e-09
                   7        8.000000e-01        8.000000e-01        6.897897e-09
                   8        8.000000e-01        8.000000e-01        6.452392e-09
                   9        8.000000e-01        8.000000e-01        6.083374e-09
                  10        8.000000e-01        8.000000e-01        5.771195e-09
                  11        8.000000e-01        8.000000e-01        7.103850e-09
                  12        8.000000e-01        8.000000e-01        6.801418e-09
                  13        8.000000e-01        8.000000e-01        6.534591e-09
                  14        8.000000e-01        8.000000e-01        6.296890e-09
                  15        8.000000e-01        8.000000e-01        6.083374e-09
                  16        8.000000e-01        8.000000e-01        5.890201e-09
                  17        8.000000e-01        8.000000e-01        5.714334e-09
                  18        8.000000e-01        8.000000e-01        5.553335e-09
                  19        8.000000e-01        8.000000e-01        5.405219e-09
                  20        8.000000e-01        8.000000e-01        4.080851e-09
                  21        8.000000e-01        8.000000e-01        3.982503e-09
                  22        8.000000e-01        8.000000e-01        5.023180e-09
                  23        8.000000e-01        8.000000e-01        4.912767e-09
                  24        8.000000e-01        8.000000e-01        4.809329e-09
                  25        8.000000e-01        8.000000e-01        4.712161e-09
                  26        8.000000e-01        8.000000e-01        4.620654e-09
                  27        8.000000e-01        8.000000e-01        4.534279e-09
                  28        8.000000e-01        8.000000e-01        4.452574e-09
                  29        8.000000e-01        8.000000e-01        4.375132e-09
                  30        8.000000e-01        8.000000e-01        4.301595e-09
                  31        8.000000e-01        8.000000e-01        4.231645e-09
                  32        8.000000e-01        8.000000e-01        4.165001e-09
                  33        8.000000e-01        8.000000e-01        4.101410e-09
                  34        8.000000e-01        8.000000e-01        4.040645e-09
                  35        8.000000e-01        8.000000e-01        3.982503e-09
                  36        8.000000e-01        8.000000e-01        3.926801e-09
                  37        8.000000e-01        8.000000e-01        3.873372e-09
                  38        8.000000e-01        8.000000e-01        3.822067e-09
                  39        8.000000e-01        8.000000e-01        3.772748e-09
                  40        8.000000e-01        8.000000e-01        2.885597e-09
                  41        8.000000e-01        8.000000e-01        2.850190e-09
                  42        8.000000e-01        8.000000e-01        1.625850e-09
                  43        8.000000e-01        8.000000e-01        0.000000e+00
                  44        8.000000e-01        8.000000e-01        0.000000e+00
                  45        8.000000e-01        8.000000e-01        2.221334e-09
                  46        8.000000e-01        8.000000e-01        2.690834e-09
                  47        8.000000e-01        8.000000e-01        2.662054e-09
                  48        8.000000e-01        8.000000e-01        3.400709e-09
                  49        8.000000e-01        8.000000e-01        3.365829e-09
                  50        8.000000e-01        8.000000e-01        3.942477e-09
                  51        8.000000e-01        8.000000e-01        3.903634e-09
                  52        8.000000e-01        8.000000e-01        4.132839e-09
                  53        8.000000e-01        8.000000e-01        4.093664e-09
                  54        8.000000e-01        8.000000e-01        4.055582e-09
                  55        8.000000e-01        8.000000e-01        4.492869e-09
                  56        8.000000e-01        8.000000e-01        4.452574e-09
                  57        8.000000e-01        8.000000e-01        4.628753e-09
                  58        8.000000e-01        8.000000e-01        4.588677e-09
                  59        8.000000e-01        8.000000e-01        4.549623e-09
                  60        8.000000e-01        8.000000e-01        4.904573e-09
                  61        8.000000e-01        8.000000e-01        4.864205e-09
                  62        8.000000e-01        8.000000e-01        4.824818e-09
                  63        8.000000e-01        8.000000e-01        5.141389e-09
                  64        8.000000e-01        8.000000e-01        5.101064e-09
                  65        8.000000e-01        8.000000e-01        5.061673e-09
                  66        8.000000e-01        8.000000e-01        5.187918e-09
                  67        8.000000e-01        8.000000e-01        5.149057e-09
                  68        8.000000e-01        8.000000e-01        5.111056e-09
                  69        8.000000e-01        8.000000e-01        5.073884e-09
                  70        8.000000e-01        8.000000e-01        5.343088e-09
                  71        8.000000e-01        8.000000e-01        5.305327e-09
                  72        8.000000e-01        8.000000e-01        5.268356e-09
                  73        8.000000e-01        8.000000e-01        5.232147e-09
                  74        8.000000e-01        8.000000e-01        5.339075e-09
                  75        8.000000e-01        8.000000e-01        5.303362e-09
