#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -6.258910e+00       -6.258910e+00        0.000000e+00
                   2       -6.377444e+00       -6.318177e+00        4.190822e-02
                   3       -6.385885e+00       -6.340746e+00        3.346890e-02
                   4       -6.458586e+00       -6.370206e+00        3.579119e-02
                   5       -6.421844e+00       -6.380534e+00        3.008610e-02
                   6       -6.500694e+00       -6.400560e+00        3.102923e-02
                   7       -6.484065e+00       -6.412490e+00        2.879846e-02
                   8       -6.446693e+00       -6.416765e+00        2.551404e-02
                   9       -6.368617e+00       -6.411415e+00        2.323325e-02
                  10       -6.363600e+00       -6.406634e+00        2.139631e-02
                  11       -6.303964e+00       -6.397300e+00        2.139032e-02
                  12       -6.272415e+00       -6.386893e+00        2.199427e-02
                  13       -6.262783e+00       -6.377346e+00        2.227824e-02
                  14       -6.346312e+00       -6.375129e+00        2.079693e-02
                  15       -6.332696e+00       -6.372301e+00        1.960193e-02
                  16       -6.311683e+00       -6.368512e+00        1.873935e-02
                  17       -6.375146e+00       -6.368902e+00        1.764110e-02
                  18       -6.294876e+00       -6.364790e+00        1.713370e-02
                  19       -6.239361e+00       -6.358188e+00        1.745743e-02
                  20       -6.237414e+00       -6.352149e+00        1.759801e-02
                  21       -6.274296e+00       -6.348442e+00        1.714606e-02
                  22       -6.150603e+00       -6.339449e+00        1.857583e-02
                  23       -6.162366e+00       -6.331750e+00        1.929792e-02
                  24       -6.214418e+00       -6.326861e+00        1.910307e-02
                  25       -6.212623e+00       -6.322292e+00        1.887756e-02
                  26       -6.257797e+00       -6.319811e+00        1.831376e-02
                  27       -6.224231e+00       -6.316271e+00        1.797435e-02
                  28       -6.251853e+00       -6.313971e+00        1.747903e-02
                  29       -6.296296e+00       -6.313361e+00        1.688692e-02
                  30       -6.330330e+00       -6.313927e+00        1.633350e-02
                  31       -6.211763e+00       -6.310631e+00        1.613566e-02
                  32       -6.198665e+00       -6.307132e+00        1.600629e-02
                  33       -6.245221e+00       -6.305256e+00        1.563081e-02
                  34       -6.282624e+00       -6.304590e+00        1.518525e-02
                  35       -6.281714e+00       -6.303937e+00        1.476545e-02
                  36       -6.333813e+00       -6.304767e+00        1.437860e-02
                  37       -6.330571e+00       -6.305464e+00        1.400689e-02
                  38       -6.337035e+00       -6.306295e+00        1.366291e-02
                  39       -6.356561e+00       -6.307584e+00        1.337323e-02
                  40       -6.249215e+00       -6.306125e+00        1.311827e-02
                  41       -6.243122e+00       -6.304588e+00        1.288800e-02
                  42       -6.242933e+00       -6.303120e+00        1.266447e-02
                  43       -6.305314e+00       -6.303171e+00        1.237005e-02
                  44       -6.435888e+00       -6.306187e+00        1.245123e-02
                  45       -6.336160e+00       -6.306853e+00        1.219234e-02
                  46       -6.331199e+00       -6.307383e+00        1.193877e-02
                  47       -6.304714e+00       -6.307326e+00        1.168489e-02
                  48       -6.299729e+00       -6.307168e+00        1.144252e-02
