#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1              2.3115              2.3115                   0
                   2             2.31128             2.31139         7.62216e-05
                   3             2.31064             2.31114         0.000211392
                   4             2.30956             2.31075         0.000376716
                   5             2.30806             2.31021         0.000567513
                   6             2.30613             2.30953         0.000780706
                   7             2.30377             2.30871          0.00101409
                   8             2.30098             2.30774          0.00126599
                   9             2.29777             2.30663          0.00153507
                  10             2.29414             2.30538          0.00182014
                  11             2.29009             2.30399          0.00212019
                  12             2.28562             2.30246          0.00243428
                  13             2.28074             2.30079          0.00276158
                  14             2.27544             2.29898          0.00310156
                  15             2.26973             2.29703          0.00345369
                  16             2.26361             2.29494          0.00381744
                  17             2.25708             2.29272          0.00419243
                  18             2.25014             2.29035          0.00457825
                  19              2.2428             2.28785          0.00497449
                  20             2.23505             2.28521          0.00538077
                  21              2.2269             2.28243          0.00579675
                  22             2.21835             2.27952          0.00622215
                  23              2.2094             2.27647          0.00665664
                  24             2.20006             2.27329          0.00709997
                  25             2.19032             2.26997          0.00755191
                  26             2.18018             2.26651          0.00801229
                  27             2.16964             2.26293           0.0084809
                  28             2.15871              2.2592          0.00895754
                  29              2.1474             2.25535          0.00944197
                  30              2.1357             2.25136          0.00993396
                  31             2.12361             2.24724           0.0104333
                  32             2.11114             2.24299           0.0109398
                  33              2.0983              2.2386           0.0114533
                  34             2.08507             2.23409           0.0119735
                  35             2.07147             2.22944           0.0125004
                  36              2.0575             2.22466           0.0130336
                  37             2.04317             2.21976           0.0135731
                  38             2.02847             2.21473           0.0141186
                  39             2.01341             2.20956           0.0146699
                  40               1.998             2.20427           0.0152268
                  41             1.98224             2.19886           0.0157891
                  42             1.96613             2.19332           0.0163566
                  43             1.94969             2.18765           0.0169291
                  44             1.93292             2.18186           0.0175063
                  45             1.91582             2.17595            0.018088
                  46              1.8984             2.16992            0.018674
                  47             1.88068             2.16376           0.0192641
                  48             1.86265             2.15749           0.0198579
                  49             1.84432              2.1511           0.0204553
                  50              1.8257             2.14459            0.021056
                  51             1.80681             2.13797           0.0216598
                  52             1.78765             2.13123           0.0222663
                  53             1.76822             2.12438           0.0228754
                  54             1.74855             2.11742           0.0234867
                  55             1.72864             2.11035           0.0240999
                  56              1.7085             2.10318           0.0247148
                  57             1.68815              2.0959           0.0253311
                  58             1.66759             2.08851           0.0259484
                  59             1.64684             2.08102           0.0265665
                  60             1.62591             2.07344            0.027185
                  61             1.60482             2.06576           0.0278036
                  62             1.58358             2.05798            0.028422
                  63              1.5622             2.05011             0.02904
                  64             1.54069             2.04215            0.029657
                  65             1.51908              2.0341           0.0302728
                  66             1.49738             2.02597           0.0308871
                  67             1.47561             2.01776           0.0314995
                  68             1.45378             2.00946           0.0321095
                  69             1.43191             2.00109            0.032717
                  70             1.41001             1.99265           0.0333215
                  71             1.38812             1.98413           0.0339226
                  72             1.36623             1.97555           0.0345199
                  73             1.34438             1.96691           0.0351132
                  74             1.32258              1.9582           0.0357019
                  75             1.30085             1.94943           0.0362858
                  76              1.2792             1.94062           0.0368645
                  77             1.25767             1.93175           0.0374375
                  78             1.23626             1.92283           0.0380045
                  79             1.21499             1.91387           0.0385652
                  80              1.1939             1.90487           0.0391191
                  81             1.17298             1.89583            0.039666
                  82             1.15227             1.88677           0.0402053
                  83             1.13179             1.87767           0.0407369
                  84             1.11154             1.86855           0.0412603
                  85             1.09156             1.85941           0.0417752
                  86             1.07185             1.85025           0.0422813
                  87             1.05245             1.84108           0.0427782
                  88             1.03335              1.8319           0.0432656
                  89             1.01459             1.82272           0.0437432
                  90            0.996175             1.81354           0.0442107
                  91            0.978124             1.80435           0.0446678
                  92            0.960451             1.79518           0.0451144
                  93            0.943171             1.78602             0.04555
                  94            0.926298             1.77687           0.0459744
                  95            0.909844             1.76775           0.0463875
                  96            0.893823             1.75864           0.0467891
                  97            0.878246             1.74957           0.0471788
                  98            0.863124             1.74052           0.0475566
                  99            0.848466             1.73151           0.0479223
                 100            0.834283             1.72254           0.0482757
                 101            0.820583             1.71361           0.0486166
                 102            0.807373             1.70473           0.0489451
                 103             0.79466             1.69589            0.049261
                 104            0.782448             1.68711           0.0495641
                 105            0.770744             1.67838           0.0498545
                 106            0.759552             1.66971           0.0501321
                 107            0.748873             1.66111           0.0503968
                 108            0.738711             1.65256           0.0506487
                 109            0.729065             1.64409           0.0508877
                 110            0.719936             1.63569           0.0511139
                 111            0.711325             1.62736           0.0513274
                 112            0.703228             1.61911            0.051528
                 113            0.695644             1.61094            0.051716
                 114            0.688572             1.60285           0.0518914
                 115            0.682006             1.59484           0.0520543
                 116            0.675944             1.58692           0.0522048
                 117            0.670378             1.57909           0.0523431
                 118            0.665303             1.57134           0.0524692
                 119            0.660713             1.56369           0.0525834
                 120              0.6566             1.55613           0.0526857
                 121            0.652958             1.54867           0.0527764
                 122            0.649777              1.5413           0.0528556
                 123             0.64705             1.53403           0.0529235
                 124            0.644766             1.52686           0.0529804
                 125            0.642916             1.51979           0.0530264
                 126            0.641489             1.51281           0.0530617
                 127            0.640475             1.50595           0.0530866
                 128            0.639864             1.49918           0.0531013
                 129            0.639643             1.49252           0.0531061
                 130              0.6398             1.48596           0.0531011
                 131            0.640323              1.4795           0.0530867
                 132            0.641202             1.47315            0.053063
                 133            0.642422              1.4669           0.0530304
                 134            0.643973             1.46076           0.0529891
                 135            0.645841             1.45473           0.0529393
                 136            0.648013              1.4488           0.0528813
                 137            0.650477             1.44297           0.0528154
                 138            0.653218             1.43725           0.0527418
                 139            0.656225             1.43163           0.0526608
                 140            0.659485             1.42611           0.0525727
                 141            0.662985              1.4207           0.0524777
                 142             0.66671             1.41539            0.052376
                 143             0.67065             1.41018           0.0522681
                 144            0.674791             1.40507            0.052154
                 145            0.679119             1.40007            0.052034
                 146            0.683622             1.39516           0.0519085
                 147            0.688288             1.39035           0.0517777
                 148            0.693105             1.38564           0.0516417
                 149            0.698059             1.38103           0.0515009
                 150            0.703139             1.37651           0.0513554
                 151            0.708335             1.37208           0.0512056
                 152            0.713633             1.36775           0.0510516
                 153            0.719023             1.36351           0.0508937
                 154            0.724493             1.35936           0.0507321
                 155            0.730033              1.3553            0.050567
                 156            0.735633             1.35133           0.0503987
                 157            0.741283             1.34744           0.0502272
                 158            0.746972             1.34364           0.0500529
                 159             0.75269             1.33993           0.0498759
                 160            0.758428             1.33629           0.0496964
                 161            0.764177             1.33274           0.0495146
                 162            0.769928             1.32926           0.0493307
                 163            0.775675             1.32587           0.0491448
                 164            0.781408             1.32255           0.0489572
                 165            0.787121              1.3193           0.0487679
                 166            0.792805             1.31613           0.0485771
                 167            0.798454             1.31303           0.0483851
                 168             0.80406                1.31           0.0481918
                 169            0.809618             1.30704           0.0479975
                 170            0.815121             1.30415           0.0478023
                 171            0.820564             1.30132           0.0476064
                 172            0.825942             1.29855           0.0474097
                 173            0.831249             1.29585           0.0472126
                 174            0.836481             1.29321            0.047015
                 175            0.841633             1.29063           0.0468171
                 176            0.846702             1.28811            0.046619
                 177            0.851684             1.28565           0.0464208
                 178            0.856574             1.28323           0.0462225
                 179            0.861372             1.28088           0.0460243
                 180            0.866073             1.27857           0.0458263
                 181            0.870675             1.27632           0.0456285
                 182            0.875176             1.27412            0.045431
                 183            0.879574             1.27196           0.0452339
                 184            0.883869             1.26985           0.0450372
                 185            0.888058             1.26779            0.044841
                 186            0.892141             1.26577           0.0446454
                 187            0.896117             1.26379           0.0444504
                 188            0.899986             1.26186            0.044256
                 189            0.903747             1.25996           0.0440624
                 190              0.9074              1.2581           0.0438696
                 191            0.910945             1.25629           0.0436775
                 192            0.914382             1.25451           0.0434863
                 193            0.917713             1.25276            0.043296
                 194            0.920938             1.25105           0.0431066
                 195            0.924058             1.24937           0.0429181
                 196            0.927074             1.24773           0.0427307
                 197            0.929988             1.24612           0.0425442
                 198            0.932802             1.24453           0.0423587
                 199            0.935516             1.24298           0.0421743
                 200            0.938134             1.24146            0.041991
                 201            0.940658             1.23996           0.0418087
                 202            0.943089             1.23849           0.0416276
                 203            0.945429             1.23705           0.0414475
                 204            0.947681             1.23563           0.0412686
                 205            0.949846             1.23424           0.0410909
                 206            0.951928             1.23286           0.0409142
                 207            0.953928             1.23152           0.0407388
                 208             0.95585             1.23019           0.0405645
                 209            0.957698             1.22889           0.0403913
                 210            0.959473             1.22761           0.0402194
                 211            0.961179             1.22634           0.0400486
                 212            0.962819              1.2251           0.0398789
                 213            0.964395             1.22388           0.0397105
                 214            0.965911             1.22267           0.0395432
                 215            0.967369             1.22148           0.0393771
                 216            0.968773             1.22031           0.0392122
                 217            0.970126             1.21916           0.0390484
                 218             0.97143             1.21802           0.0388858
                 219            0.972689              1.2169           0.0387244
                 220            0.973906              1.2158           0.0385642
                 221            0.975084             1.21471            0.038405
                 222            0.976226             1.21364           0.0382471
                 223            0.977336             1.21258           0.0380902
                 224            0.978414             1.21153           0.0379345
                 225            0.979465              1.2105           0.0377799
                 226            0.980491             1.20948           0.0376265
                 227            0.981494             1.20848           0.0374741
                 228            0.982476             1.20749           0.0373229
                 229            0.983442             1.20651           0.0371727
                 230            0.984394             1.20554           0.0370236
                 231            0.985333             1.20459           0.0368756
                 232            0.986262             1.20365           0.0367287
                 233            0.987183             1.20272           0.0365828
                 234            0.988099              1.2018            0.036438
                 235            0.989012              1.2009           0.0362942
                 236            0.989925                 1.2           0.0361514
                 237            0.990838             1.19912           0.0360096
                 238            0.991753             1.19825           0.0358688
                 239            0.992673             1.19739           0.0357291
                 240              0.9936             1.19654           0.0355903
                 241            0.994536              1.1957           0.0354525
                 242            0.995483             1.19487           0.0353156
                 243            0.996442             1.19406           0.0351797
                 244            0.997415             1.19325           0.0350448
                 245            0.998405             1.19245           0.0349108
                 246            0.999411             1.19167           0.0347777
                 247             1.00043              1.1909           0.0346455
                 248             1.00148             1.19013           0.0345142
