#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -5.538956e+00       -5.538956e+00        0.000000e+00
                   2       -5.538956e+00       -5.538956e+00        4.214685e-08
                   3       -5.538956e+00       -5.538956e+00        4.866699e-08
                   4       -5.538956e+00       -5.538956e+00        2.980232e-08
                   5       -5.538956e+00       -5.538956e+00        2.665601e-08
                   6       -5.538955e+00       -5.538956e+00        3.441276e-08
                   7       -5.538955e+00       -5.538956e+00        5.518318e-08
                   8       -5.538955e+00       -5.538956e+00        5.960464e-08
                   9       -5.538955e+00       -5.538956e+00        5.960464e-08
                  10       -5.538631e+00       -5.538923e+00        3.074636e-05
                  11       -5.538308e+00       -5.538867e+00        6.016436e-05
                  12       -5.537011e+00       -5.538713e+00        1.580076e-04
                  13       -5.536038e+00       -5.538507e+00        2.456256e-04
                  14       -5.535392e+00       -5.538284e+00        3.130259e-04
                  15       -5.534096e+00       -5.538005e+00        3.976293e-04
                  16       -5.532476e+00       -5.537660e+00        5.009208e-04
                  17       -5.531828e+00       -5.537317e+00        5.770656e-04
                  18       -5.529888e+00       -5.536904e+00        6.766881e-04
                  19       -5.527622e+00       -5.536415e+00        7.981738e-04
                  20       -5.525356e+00       -5.535862e+00        9.302971e-04
                  21       -5.523413e+00       -5.535270e+00        1.058165e-03
                  22       -5.520500e+00       -5.534598e+00        1.204359e-03
                  23       -5.517586e+00       -5.533859e+00        1.360300e-03
                  24       -5.514995e+00       -5.533073e+00        1.513749e-03
                  25       -5.513377e+00       -5.532285e+00        1.645478e-03
                  26       -5.512082e+00       -5.531508e+00        1.756095e-03
                  27       -5.510462e+00       -5.530728e+00        1.855997e-03
                  28       -5.507872e+00       -5.529912e+00        1.961018e-03
                  29       -5.505283e+00       -5.529063e+00        2.069144e-03
                  30       -5.503017e+00       -5.528195e+00        2.174701e-03
                  31       -5.500751e+00       -5.527309e+00        2.277625e-03
                  32       -5.497838e+00       -5.526388e+00        2.385395e-03
                  33       -5.496543e+00       -5.525484e+00        2.478637e-03
                  34       -5.495895e+00       -5.524614e+00        2.553943e-03
                  35       -5.495571e+00       -5.523784e+00        2.612295e-03
                  36       -5.493628e+00       -5.522946e+00        2.670657e-03
                  37       -5.492981e+00       -5.522136e+00        2.718502e-03
                  38       -5.491685e+00       -5.521335e+00        2.762547e-03
                  39       -5.490714e+00       -5.520550e+00        2.801068e-03
                  40       -5.489742e+00       -5.519780e+00        2.834951e-03
                  41       -5.488447e+00       -5.519015e+00        2.866960e-03
                  42       -5.487799e+00       -5.518272e+00        2.893435e-03
                  43       -5.487476e+00       -5.517556e+00        2.913437e-03
                  44       -5.485856e+00       -5.516835e+00        2.934951e-03
                  45       -5.485207e+00       -5.516133e+00        2.952688e-03
                  46       -5.484236e+00       -5.515439e+00        2.968803e-03
                  47       -5.483588e+00       -5.514762e+00        2.981982e-03
                  48       -5.482940e+00       -5.514099e+00        2.992642e-03
                  49       -5.481968e+00       -5.513443e+00        3.002546e-03
                  50       -5.480673e+00       -5.512787e+00        3.013178e-03
                  51       -5.480349e+00       -5.512151e+00        3.020483e-03
                  52       -5.479701e+00       -5.511527e+00        3.026176e-03
                  53       -5.479376e+00       -5.510921e+00        3.029270e-03
                  54       -5.478728e+00       -5.510325e+00        3.031266e-03
                  55       -5.476785e+00       -5.509715e+00        3.036870e-03
                  56       -5.476137e+00       -5.509115e+00        3.041256e-03
                  57       -5.475165e+00       -5.508520e+00        3.045665e-03
                  58       -5.473222e+00       -5.507911e+00        3.053352e-03
                  59       -5.473221e+00       -5.507323e+00        3.057687e-03
                  60       -5.472897e+00       -5.506749e+00        3.060087e-03
                  61       -5.472572e+00       -5.506189e+00        3.060784e-03
                  62       -5.472571e+00       -5.505647e+00        3.059068e-03
                  63       -5.472570e+00       -5.505122e+00        3.055233e-03
                  64       -5.472245e+00       -5.504608e+00        3.050374e-03
                  65       -5.471921e+00       -5.504105e+00        3.044616e-03
                  66       -5.471920e+00       -5.503617e+00        3.037288e-03
                  67       -5.471595e+00       -5.503140e+00        3.029327e-03
                  68       -5.470946e+00       -5.502666e+00        3.021546e-03
                  69       -5.470622e+00       -5.502202e+00        3.013235e-03
                  70       -5.469649e+00       -5.501737e+00        3.005859e-03
                  71       -5.469000e+00       -5.501276e+00        2.998678e-03
                  72       -5.468675e+00       -5.500823e+00        2.991017e-03
                  73       -5.467703e+00       -5.500369e+00        2.984256e-03
                  74       -5.467378e+00       -5.499923e+00        2.977044e-03
                  75       -5.467053e+00       -5.499485e+00        2.969435e-03
                  76       -5.467052e+00       -5.499058e+00        2.960869e-03
                  77       -5.467051e+00       -5.498643e+00        2.951451e-03
                  78       -5.466402e+00       -5.498229e+00        2.942413e-03
                  79       -5.466401e+00       -5.497826e+00        2.932621e-03
                  80       -5.466076e+00       -5.497429e+00        2.922695e-03
                  81       -5.466075e+00       -5.497042e+00        2.912134e-03
                  82       -5.466073e+00       -5.496665e+00        2.901007e-03
                  83       -5.465749e+00       -5.496292e+00        2.889869e-03
                  84       -5.465748e+00       -5.495929e+00        2.878252e-03
                  85       -5.465423e+00       -5.495570e+00        2.866678e-03
                  86       -5.465745e+00       -5.495223e+00        2.854245e-03
                  87       -5.465421e+00       -5.494880e+00        2.841919e-03
                  88       -5.465744e+00       -5.494549e+00        2.828846e-03
                  89       -5.465742e+00       -5.494226e+00        2.815518e-03
                  90       -5.465418e+00       -5.493905e+00        2.802370e-03
                  91       -5.465417e+00       -5.493592e+00        2.789007e-03
                  92       -5.465092e+00       -5.493283e+00        2.775843e-03
                  93       -5.464120e+00       -5.492969e+00        2.763650e-03
                  94       -5.464119e+00       -5.492662e+00        2.751239e-03
                  95       -5.464118e+00       -5.492362e+00        2.738636e-03
                  96       -5.464117e+00       -5.492067e+00        2.725866e-03
                  97       -5.463793e+00       -5.491776e+00        2.713305e-03
                  98       -5.463469e+00       -5.491487e+00        2.700950e-03
                  99       -5.463468e+00       -5.491204e+00        2.688455e-03
                 100       -5.463144e+00       -5.490924e+00        2.676174e-03
                 101       -5.462496e+00       -5.490642e+00        2.664438e-03
                 102       -5.462171e+00       -5.490363e+00        2.652896e-03
                 103       -5.462171e+00       -5.490089e+00        2.641222e-03
                 104       -5.462171e+00       -5.489821e+00        2.629432e-03
                 105       -5.461846e+00       -5.489554e+00        2.617853e-03
                 106       -5.462171e+00       -5.489296e+00        2.605872e-03
                 107       -5.461847e+00       -5.489039e+00        2.594114e-03
                 108       -5.461847e+00       -5.488788e+00        2.582285e-03
                 109       -5.461199e+00       -5.488535e+00        2.570968e-03
                 110       -5.461523e+00       -5.488289e+00        2.559296e-03
                 111       -5.461523e+00       -5.488048e+00        2.547574e-03
                 112       -5.461523e+00       -5.487811e+00        2.535811e-03
                 113       -5.461523e+00       -5.487578e+00        2.524019e-03
                 114       -5.462171e+00       -5.487356e+00        2.511699e-03
                 115       -5.461848e+00       -5.487134e+00        2.499632e-03
                 116       -5.461848e+00       -5.486916e+00        2.487570e-03
                 117       -5.461849e+00       -5.486702e+00        2.475518e-03
                 118       -5.461849e+00       -5.486491e+00        2.463482e-03
                 119       -5.461526e+00       -5.486281e+00        2.451697e-03
                 120       -5.461202e+00       -5.486072e+00        2.440158e-03
                 121       -5.460879e+00       -5.485864e+00        2.428858e-03
                 122       -5.461203e+00       -5.485662e+00        2.417346e-03
                 123       -5.461203e+00       -5.485463e+00        2.405858e-03
                 124       -5.460880e+00       -5.485265e+00        2.394610e-03
                 125       -5.460881e+00       -5.485070e+00        2.383385e-03
                 126       -5.460881e+00       -5.484878e+00        2.372188e-03
                 127       -5.460882e+00       -5.484689e+00        2.361022e-03
                 128       -5.460883e+00       -5.484503e+00        2.349890e-03
                 129       -5.460883e+00       -5.484320e+00        2.338796e-03
                 130       -5.461208e+00       -5.484142e+00        2.327552e-03
                 131       -5.461209e+00       -5.483967e+00        2.316359e-03
                 132       -5.460886e+00       -5.483792e+00        2.305401e-03
                 133       -5.460886e+00       -5.483620e+00        2.294491e-03
                 134       -5.460888e+00       -5.483450e+00        2.283631e-03
                 135       -5.461212e+00       -5.483285e+00        2.272648e-03
                 136       -5.461213e+00       -5.483123e+00        2.261725e-03
                 137       -5.461214e+00       -5.482963e+00        2.250863e-03
                 138       -5.461215e+00       -5.482806e+00        2.240062e-03
                 139       -5.460892e+00       -5.482648e+00        2.229488e-03
                 140       -5.461216e+00       -5.482495e+00        2.218812e-03
                 141       -5.460893e+00       -5.482342e+00        2.208359e-03
                 142       -5.460894e+00       -5.482191e+00        2.197966e-03
                 143       -5.460247e+00       -5.482037e+00        2.187945e-03
                 144       -5.460248e+00       -5.481886e+00        2.177977e-03
                 145       -5.460573e+00       -5.481739e+00        2.167911e-03
                 146       -5.460897e+00       -5.481596e+00        2.157757e-03
                 147       -5.460574e+00       -5.481453e+00        2.147812e-03
                 148       -5.460251e+00       -5.481310e+00        2.138072e-03
                 149       -5.459928e+00       -5.481166e+00        2.128533e-03
                 150       -5.459605e+00       -5.481023e+00        2.119191e-03
                 151       -5.459282e+00       -5.480879e+00        2.110042e-03
                 152       -5.459607e+00       -5.480739e+00        2.100796e-03
                 153       -5.459931e+00       -5.480603e+00        2.091462e-03
                 154       -5.459608e+00       -5.480466e+00        2.082320e-03
                 155       -5.459608e+00       -5.480332e+00        2.073229e-03
                 156       -5.460904e+00       -5.480207e+00        2.063676e-03
                 157       -5.460904e+00       -5.480084e+00        2.054191e-03
                 158       -5.460905e+00       -5.479963e+00        2.044773e-03
                 159       -5.460905e+00       -5.479843e+00        2.035423e-03
                 160       -5.460906e+00       -5.479725e+00        2.026140e-03
                 161       -5.460906e+00       -5.479608e+00        2.016924e-03
                 162       -5.460907e+00       -5.479492e+00        2.007774e-03
                 163       -5.459612e+00       -5.479370e+00        1.999158e-03
                 164       -5.459613e+00       -5.479250e+00        1.990594e-03
                 165       -5.459289e+00       -5.479129e+00        1.982203e-03
                 166       -5.458966e+00       -5.479007e+00        1.973979e-03
                 167       -5.458643e+00       -5.478885e+00        1.965922e-03
                 168       -5.458643e+00       -5.478765e+00        1.957909e-03
                 169       -5.458320e+00       -5.478644e+00        1.950058e-03
                 170       -5.458320e+00       -5.478524e+00        1.942248e-03
                 171       -5.458645e+00       -5.478408e+00        1.934366e-03
                 172       -5.458645e+00       -5.478293e+00        1.926530e-03
                 173       -5.458969e+00       -5.478182e+00        1.918629e-03
                 174       -5.458645e+00       -5.478069e+00        1.910885e-03
                 175       -5.458646e+00       -5.477958e+00        1.903186e-03
                 176       -5.458646e+00       -5.477849e+00        1.895533e-03
                 177       -5.458646e+00       -5.477740e+00        1.887926e-03
                 178       -5.458646e+00       -5.477633e+00        1.880365e-03
                 179       -5.458323e+00       -5.477525e+00        1.872952e-03
