#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        7.966667e-01        7.966667e-01        0.000000e+00
                   2        8.003355e-01        7.985011e-01        1.297098e-03
                   3        8.017169e-01        7.995730e-01        1.230364e-03
                   4        7.994485e-01        7.995419e-01        9.231664e-04
                   5        7.964256e-01        7.989187e-01        9.253072e-04
                   6        7.987945e-01        7.988980e-01        7.713208e-04
                   7        8.052454e-01        7.998047e-01        1.068581e-03
                   8        7.998086e-01        7.998052e-01        9.350087e-04
                   9        7.990706e-01        7.997236e-01        8.346743e-04
                  10        8.009553e-01        7.998468e-01        7.602404e-04
                  11        7.978677e-01        7.996668e-01        7.120977e-04
                  12        8.009412e-01        7.997730e-01        6.606280e-04
                  13        8.018237e-01        7.999308e-01        6.283613e-04
                  14        8.025055e-01        8.001147e-01        6.097977e-04
                  15        7.993614e-01        8.000645e-01        5.712088e-04
                  16        7.976390e-01        7.999129e-01        5.552595e-04
                  17        8.009088e-01        7.999715e-01        5.256785e-04
                  18        8.016348e-01        8.000639e-01        5.045308e-04
                  19        8.001845e-01        8.000702e-01        4.780164e-04
                  20        8.002901e-01        8.000812e-01        4.542420e-04
                  21        8.003962e-01        8.000962e-01        4.328590e-04
                  22        8.004029e-01        8.001102e-01        4.134080e-04
                  23        8.008800e-01        8.001436e-01        3.967865e-04
                  24        8.014257e-01        8.001970e-01        3.838330e-04
                  25        8.004199e-01        8.002060e-01        3.685832e-04
                  26        7.961496e-01        8.000499e-01        3.860156e-04
                  27        8.008880e-01        8.000810e-01        3.729645e-04
                  28        8.024580e-01        8.001659e-01        3.691794e-04
                  29        8.039286e-01        8.002956e-01        3.785639e-04
                  30        7.991896e-01        8.002588e-01        3.677361e-04
                  31        7.984490e-01        8.002004e-01        3.604778e-04
                  32        8.011648e-01        8.002305e-01        3.504704e-04
                  33        7.996468e-01        8.002128e-01        3.402962e-04
                  34        7.977621e-01        8.001407e-01        3.378352e-04
                  35        7.995484e-01        8.001238e-01        3.286064e-04
                  36        8.007749e-01        8.001419e-01        3.199757e-04
                  37        7.965910e-01        8.000459e-01        3.254019e-04
                  38        8.003991e-01        8.000552e-01        3.169713e-04
                  39        7.961100e-01        7.999541e-01        3.245853e-04
                  40        8.036342e-01        8.000461e-01        3.292515e-04
                  41        7.981146e-01        7.999990e-01        3.245735e-04
                  42        7.977510e-01        7.999454e-01        3.212283e-04
                  43        7.982904e-01        7.999070e-01        3.160554e-04
                  44        7.989819e-01        7.998859e-01        3.095708e-04
                  45        7.987213e-01        7.998600e-01        3.037714e-04
                  46        7.995772e-01        7.998539e-01        2.972299e-04
                  47        7.983031e-01        7.998209e-01        2.927315e-04
                  48        8.007844e-01        7.998410e-01        2.873204e-04
                  49        7.977821e-01        7.997990e-01        2.845127e-04
                  50        7.956712e-01        7.997164e-01        2.905526e-04
