#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1             1.64385             1.64385                   0
                   2             1.65034             1.64709          0.00229718
                   3             1.61017             1.63479           0.0101659
                   4             1.68064             1.64625           0.0125177
                   5             1.65406             1.64781            0.010111
                   6             1.68136              1.6534          0.00985106
                   7              1.6517             1.65316          0.00844677
                   8             1.63274             1.65061          0.00776694
                   9             1.65467             1.65106          0.00691704
                  10             1.66908             1.65286          0.00645586
                  11             1.66812             1.65425          0.00601615
                  12              1.6579             1.65455           0.0055225
                  13             1.66992             1.65573          0.00522268
                  14               1.618             1.65304          0.00550124
                  15             1.60958             1.65014          0.00584781
                  16             1.70278             1.65343          0.00634051
                  17             1.62498             1.65176           0.0061845
                  18              1.6308             1.65059          0.00594953
                  19              1.6005             1.64796          0.00619311
                  20             1.65042             1.64808          0.00588468
                  21             1.68698             1.64993          0.00588874
                  22             1.62994             1.64902          0.00569075
                  23             1.65412             1.64924          0.00544764
                  24             1.66062             1.64972          0.00524125
                  25             1.60939             1.64811          0.00527397
                  26             1.64301             1.64791          0.00507477
                  27             1.62811             1.64718          0.00493954
                  28             1.60164             1.64555          0.00502368
                  29              1.6722             1.64647          0.00493379
                  30             1.67751              1.6475          0.00487663
                  31             1.64675             1.64748          0.00471938
                  32             1.65154             1.64761           0.0045736
                  33             1.64015             1.64738          0.00444058
                  34             1.64447             1.64729           0.0043108
                  35             1.63016              1.6468          0.00421536
                  36             1.66088              1.6472          0.00411635
                  37             1.63485             1.64686          0.00401859
                  38             1.63732             1.64661          0.00392067
                  39             1.65472             1.64682          0.00382564
                  40             1.66651             1.64731          0.00376155
                  41             1.66668             1.64778          0.00369935
                  42             1.67785              1.6485          0.00367988
                  43             1.69287             1.64953          0.00373615
                  44             1.64096             1.64934          0.00365631
                  45             1.66847             1.64976          0.00359969
                  46             1.61974             1.64911           0.0035801
                  47             1.66175             1.64938          0.00351402
                  48              1.6605             1.64961          0.00344844
                  49             1.64174             1.64945          0.00338181
                  50             1.63257             1.64911          0.00333097
