#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.01425            -5.01425                   0
                   2            -5.02159            -5.01792          0.00259534
                   3            -4.97749            -5.00444           0.0111368
                   4            -5.05046            -5.01595           0.0130006
                   5            -5.02327            -5.01741           0.0104827
                   6            -5.05181            -5.02314           0.0101834
                   7             -5.0211            -5.02285          0.00873286
                   8            -5.00038            -5.02004           0.0080805
                   9            -5.02345            -5.02042          0.00719152
                  10            -5.03657            -5.02203          0.00665116
                  11            -5.03703             -5.0234          0.00618463
                  12             -5.0286            -5.02383          0.00568444
                  13            -5.03973            -5.02505          0.00537706
                  14            -4.98888            -5.02247          0.00557945
                  15            -4.97836            -5.01953          0.00593214
                  16            -5.07246            -5.02284          0.00641799
                  17            -4.99546            -5.02123          0.00623924
                  18            -4.99904            -5.01999          0.00601317
                  19            -4.96908            -5.01731          0.00626529
                  20            -5.02035            -5.01747          0.00595386
                  21             -5.0564            -5.01932          0.00595201
                  22            -4.99933            -5.01841          0.00575043
                  23            -5.02528            -5.01871          0.00550817
                  24            -5.03059            -5.01921          0.00530087
                  25            -4.97779            -5.01755          0.00534143
                  26            -5.01172            -5.01732          0.00514069
                  27            -4.99506             -5.0165          0.00501601
                  28            -4.97108            -5.01488          0.00509238
                  29            -5.04262            -5.01583          0.00500581
                  30            -5.04706            -5.01688            0.004946
                  31            -5.01529            -5.01682          0.00478671
                  32            -5.02053            -5.01694          0.00463853
                  33            -5.00868            -5.01669          0.00450472
                  34            -5.01503            -5.01664          0.00437249
                  35            -4.99889            -5.01613          0.00427689
                  36            -5.02848            -5.01648          0.00417182
                  37            -5.00311            -5.01612          0.00407467
                  38            -5.00718            -5.01588          0.00397422
                  39            -5.02417            -5.01609          0.00387799
                  40            -5.03498            -5.01657          0.00380967
                  41            -5.03606            -5.01704          0.00374632
                  42            -5.04785            -5.01777          0.00372826
                  43            -5.06548            -5.01888          0.00380302
                  44            -5.01068             -5.0187          0.00372116
                  45            -5.03609            -5.01908          0.00365848
                  46            -4.98878            -5.01843          0.00363778
                  47            -5.03143             -5.0187          0.00357089
                  48            -5.02839             -5.0189          0.00350219
                  49            -5.00995            -5.01872          0.00343548
                  50            -5.00084            -5.01836          0.00338533
