#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        2.227089e+00        2.227089e+00        0.000000e+00
                   2        2.108000e+00        2.167544e+00        4.210408e-02
                   3        2.332117e+00        2.222402e+00        5.285952e-02
                   4        1.924778e+00        2.147996e+00        7.565636e-02
                   5        2.291577e+00        2.176712e+00        6.574940e-02
                   6        2.128393e+00        2.168659e+00        5.528215e-02
                   7        2.194746e+00        2.172386e+00        4.751014e-02
                   8        2.339720e+00        2.193303e+00        4.594562e-02
                   9        2.066091e+00        2.179168e+00        4.295972e-02
                  10        2.210831e+00        2.182334e+00        3.878026e-02
                  11        2.077263e+00        2.172782e+00        3.641214e-02
                  12        2.070455e+00        2.164255e+00        3.436179e-02
                  13        1.999716e+00        2.151598e+00        3.396970e-02
                  14        2.240362e+00        2.157939e+00        3.212954e-02
                  15        2.304858e+00        2.167733e+00        3.144508e-02
                  16        2.031285e+00        2.159205e+00        3.061434e-02
                  17        2.263288e+00        2.165328e+00        2.941935e-02
                  18        2.238505e+00        2.169393e+00        2.806443e-02
                  19        2.366436e+00        2.179764e+00        2.843901e-02
                  20        2.073775e+00        2.174464e+00        2.750639e-02
                  21        2.061901e+00        2.169104e+00        2.671372e-02
                  22        2.324108e+00        2.176150e+00        2.641225e-02
                  23        2.079378e+00        2.171942e+00        2.559682e-02
                  24        2.134371e+00        2.170377e+00        2.457811e-02
                  25        2.363511e+00        2.178102e+00        2.477937e-02
                  26        2.144663e+00        2.176816e+00        2.385967e-02
                  27        2.281705e+00        2.180701e+00        2.329009e-02
                  28        2.293133e+00        2.184716e+00        2.280182e-02
                  29        2.044988e+00        2.179898e+00        2.251886e-02
                  30        1.934675e+00        2.171724e+00        2.320441e-02
                  31        2.176099e+00        2.171865e+00        2.245631e-02
                  32        2.173960e+00        2.171931e+00        2.175465e-02
                  33        2.150529e+00        2.171282e+00        2.110508e-02
                  34        2.122372e+00        2.169844e+00        2.053331e-02
                  35        2.364853e+00        2.175415e+00        2.068878e-02
                  36        2.139405e+00        2.174415e+00        2.013826e-02
                  37        2.356872e+00        2.179346e+00        2.018872e-02
                  38        2.213160e+00        2.180236e+00        1.967704e-02
                  39        2.063675e+00        2.177247e+00        1.939815e-02
                  40        2.053262e+00        2.174148e+00        1.915924e-02
                  41        2.055421e+00        2.171252e+00        1.890952e-02
                  42        2.011214e+00        2.167441e+00        1.883929e-02
                  43        1.927737e+00        2.161867e+00        1.920822e-02
                  44        2.109764e+00        2.160683e+00        1.880813e-02
                  45        2.033447e+00        2.157855e+00        1.860149e-02
                  46        2.233587e+00        2.159502e+00        1.826982e-02
                  47        2.030042e+00        2.156747e+00        1.808755e-02
                  48        2.187819e+00        2.157395e+00        1.772230e-02
                  49        2.223065e+00        2.158735e+00        1.741123e-02
                  50        2.175748e+00        2.159075e+00        1.706633e-02
