#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -3.370400e+00       -3.370400e+00        0.000000e+00
                   2       -3.371244e+00       -3.370822e+00        2.981643e-04
                   3       -3.367325e+00       -3.369656e+00        9.722745e-04
                   4       -3.369816e+00       -3.369696e+00        7.300300e-04
                   5       -3.369212e+00       -3.369599e+00        5.904192e-04
                   6       -3.370454e+00       -3.369742e+00        5.089124e-04
                   7       -3.369399e+00       -3.369693e+00        4.385625e-04
                   8       -3.367636e+00       -3.369436e+00        4.528838e-04
                   9       -3.368779e+00       -3.369363e+00        4.083996e-04
                  10       -3.367487e+00       -3.369175e+00        4.083798e-04
                  11       -3.368912e+00       -3.369151e+00        3.719564e-04
                  12       -3.370704e+00       -3.369281e+00        3.627718e-04
                  13       -3.369808e+00       -3.369321e+00        3.371267e-04
                  14       -3.370876e+00       -3.369432e+00        3.308321e-04
                  15       -3.368775e+00       -3.369388e+00        3.116602e-04
                  16       -3.369687e+00       -3.369407e+00        2.927387e-04
                  17       -3.370483e+00       -3.369470e+00        2.822747e-04
                  18       -3.368240e+00       -3.369402e+00        2.747440e-04
                  19       -3.368588e+00       -3.369359e+00        2.636046e-04
                  20       -3.369931e+00       -3.369388e+00        2.519688e-04
                  21       -3.369425e+00       -3.369390e+00        2.399767e-04
                  22       -3.369386e+00       -3.369389e+00        2.290687e-04
                  23       -3.371161e+00       -3.369466e+00        2.316944e-04
                  24       -3.369968e+00       -3.369487e+00        2.229823e-04
                  25       -3.368397e+00       -3.369444e+00        2.182875e-04
                  26       -3.368711e+00       -3.369415e+00        2.117024e-04
                  27       -3.366954e+00       -3.369324e+00        2.226347e-04
                  28       -3.369440e+00       -3.369328e+00        2.147216e-04
                  29       -3.370417e+00       -3.369366e+00        2.105714e-04
                  30       -3.369553e+00       -3.369372e+00        2.036443e-04
                  31       -3.368536e+00       -3.369345e+00        1.988545e-04
                  32       -3.368993e+00       -3.369334e+00        1.929446e-04
                  33       -3.368529e+00       -3.369310e+00        1.886354e-04
                  34       -3.370560e+00       -3.369347e+00        1.866365e-04
                  35       -3.368729e+00       -3.369329e+00        1.821352e-04
                  36       -3.367604e+00       -3.369281e+00        1.832674e-04
                  37       -3.368260e+00       -3.369253e+00        1.803814e-04
                  38       -3.369861e+00       -3.369269e+00        1.763418e-04
                  39       -3.369452e+00       -3.369274e+00        1.718821e-04
                  40       -3.368462e+00       -3.369254e+00        1.687789e-04
                  41       -3.369385e+00       -3.369257e+00        1.646927e-04
                  42       -3.370006e+00       -3.369275e+00        1.617336e-04
                  43       -3.372609e+00       -3.369352e+00        1.755790e-04
                  44       -3.369719e+00       -3.369361e+00        1.717862e-04
                  45       -3.367624e+00       -3.369322e+00        1.722489e-04
                  46       -3.369036e+00       -3.369316e+00        1.686162e-04
                  47       -3.369679e+00       -3.369324e+00        1.652051e-04
                  48       -3.367885e+00       -3.369294e+00        1.644581e-04
                  49       -3.368215e+00       -3.369272e+00        1.625677e-04
                  50       -3.368270e+00       -3.369252e+00        1.605468e-04
