#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1          -0.0318372          -0.0318372                   0
                   2          -0.0318372          -0.0318372         7.69399e-09
                   3          -0.0318373          -0.0318372         2.13511e-08
                   4          -0.0318374          -0.0318373         3.80612e-08
                   5          -0.0318376          -0.0318373         5.73656e-08
                   6          -0.0318378          -0.0318374         7.89572e-08
                   7           -0.031838          -0.0318375         1.02617e-07
                   8          -0.0318383          -0.0318376         1.28181e-07
                   9          -0.0318386          -0.0318377         1.55515e-07
                  10           -0.031839          -0.0318378         1.84513e-07
                  11          -0.0318394           -0.031838         2.15085e-07
                  12          -0.0318398          -0.0318381         2.47152e-07
                  13          -0.0318403          -0.0318383         2.80648e-07
                  14          -0.0318409          -0.0318385         3.15515e-07
                  15          -0.0318415          -0.0318387         3.51699e-07
                  16          -0.0318421          -0.0318389         3.89154e-07
                  17          -0.0318428          -0.0318391         4.27839e-07
                  18          -0.0318435          -0.0318394         4.67714e-07
                  19          -0.0318442          -0.0318396         5.08746e-07
                  20           -0.031845          -0.0318399         5.50901e-07
                  21          -0.0318459          -0.0318402          5.9415e-07
                  22          -0.0318468          -0.0318405         6.38466e-07
                  23          -0.0318477          -0.0318408         6.83824e-07
                  24          -0.0318487          -0.0318411         7.30199e-07
                  25          -0.0318497          -0.0318415          7.7757e-07
                  26          -0.0318508          -0.0318418         8.25916e-07
                  27          -0.0318519          -0.0318422         8.75217e-07
                  28           -0.031853          -0.0318426         9.25455e-07
                  29          -0.0318542           -0.031843         9.76612e-07
                  30          -0.0318554          -0.0318434         1.02867e-06
                  31          -0.0318567          -0.0318438         1.08162e-06
                  32           -0.031858          -0.0318443         1.13544e-06
                  33          -0.0318594          -0.0318447         1.19012e-06
                  34          -0.0318608          -0.0318452         1.24564e-06
                  35          -0.0318623          -0.0318457         1.30199e-06
                  36          -0.0318638          -0.0318462         1.35917e-06
                  37          -0.0318653          -0.0318467         1.41715e-06
                  38          -0.0318669          -0.0318472         1.47593e-06
                  39          -0.0318685          -0.0318478          1.5355e-06
                  40          -0.0318702          -0.0318483         1.59584e-06
                  41          -0.0318719          -0.0318489         1.65694e-06
                  42          -0.0318736          -0.0318495         1.71881e-06
                  43          -0.0318754          -0.0318501         1.78141e-06
                  44          -0.0318773          -0.0318507         1.84476e-06
                  45          -0.0318791          -0.0318514         1.90884e-06
                  46          -0.0318811           -0.031852         1.97364e-06
                  47           -0.031883          -0.0318527         2.03915e-06
                  48          -0.0318851          -0.0318533         2.10536e-06
                  49          -0.0318871           -0.031854         2.17228e-06
                  50          -0.0318892          -0.0318547         2.23988e-06
                  51          -0.0318913          -0.0318554         2.30817e-06
                  52          -0.0318935          -0.0318562         2.37714e-06
                  53          -0.0318958          -0.0318569         2.44677e-06
                  54           -0.031898          -0.0318577         2.51707e-06
                  55          -0.0319003          -0.0318585         2.58803e-06
                  56          -0.0319027          -0.0318593         2.65964e-06
                  57          -0.0319051          -0.0318601          2.7319e-06
                  58          -0.0319075          -0.0318609         2.80479e-06
                  59            -0.03191          -0.0318617         2.87832e-06
                  60          -0.0319126          -0.0318626         2.95248e-06
                  61          -0.0319151          -0.0318634         3.02727e-06
                  62          -0.0319177          -0.0318643         3.10267e-06
                  63          -0.0319204          -0.0318652         3.17869e-06
                  64          -0.0319231          -0.0318661         3.25532e-06
                  65          -0.0319259           -0.031867         3.33255e-06
                  66          -0.0319286          -0.0318679         3.41038e-06
                  67          -0.0319315          -0.0318689         3.48881e-06
                  68          -0.0319344          -0.0318699         3.56783e-06
                  69          -0.0319373          -0.0318708         3.64743e-06
                  70          -0.0319402          -0.0318718         3.72762e-06
                  71          -0.0319432          -0.0318728         3.80839e-06
                  72          -0.0319463          -0.0318739         3.88973e-06
                  73          -0.0319494          -0.0318749         3.97165e-06
                  74          -0.0319525          -0.0318759         4.05413e-06
                  75          -0.0319557           -0.031877         4.13717e-06
                  76          -0.0319589          -0.0318781         4.22077e-06
                  77          -0.0319622          -0.0318792         4.30493e-06
                  78          -0.0319655          -0.0318803         4.38965e-06
                  79          -0.0319688          -0.0318814         4.47491e-06
                  80          -0.0319722          -0.0318825         4.56072e-06
                  81          -0.0319757          -0.0318837         4.64707e-06
                  82          -0.0319791          -0.0318848         4.73396e-06
                  83          -0.0319827           -0.031886         4.82139e-06
                  84          -0.0319862          -0.0318872         4.90935e-06
                  85          -0.0319898          -0.0318884         4.99785e-06
                  86          -0.0319935          -0.0318896         5.08687e-06
                  87          -0.0319972          -0.0318909         5.17641e-06
                  88          -0.0320009          -0.0318921         5.26648e-06
                  89          -0.0320047          -0.0318934         5.35707e-06
                  90          -0.0320085          -0.0318947         5.44817e-06
                  91          -0.0320124           -0.031896         5.53979e-06
                  92          -0.0320163          -0.0318973         5.63192e-06
                  93          -0.0320203          -0.0318986         5.72456e-06
                  94          -0.0320243          -0.0318999          5.8177e-06
                  95          -0.0320283          -0.0319013         5.91135e-06
                  96          -0.0320324          -0.0319027          6.0055e-06
                  97          -0.0320365           -0.031904         6.10015e-06
                  98          -0.0320407          -0.0319054         6.19529e-06
                  99          -0.0320449          -0.0319068         6.29093e-06
                 100          -0.0320492          -0.0319083         6.38707e-06
                 101          -0.0320535          -0.0319097         6.48369e-06
                 102          -0.0320579          -0.0319112          6.5808e-06
                 103          -0.0320622          -0.0319126          6.6784e-06
                 104          -0.0320667          -0.0319141         6.77648e-06
                 105          -0.0320712          -0.0319156         6.87504e-06
                 106          -0.0320757          -0.0319171         6.97408e-06
                 107          -0.0320802          -0.0319186          7.0736e-06
                 108          -0.0320849          -0.0319202          7.1736e-06
                 109          -0.0320895          -0.0319217         7.27407e-06
                 110          -0.0320942          -0.0319233         7.37501e-06
                 111          -0.0320989          -0.0319249         7.47643e-06
                 112          -0.0321037          -0.0319265         7.57831e-06
                 113          -0.0321086          -0.0319281         7.68066e-06
                 114          -0.0321134          -0.0319297         7.78347e-06
                 115          -0.0321184          -0.0319313         7.88675e-06
                 116          -0.0321233           -0.031933         7.99049e-06
                 117          -0.0321283          -0.0319347         8.09469e-06
                 118          -0.0321334          -0.0319364         8.19934e-06
                 119          -0.0321385          -0.0319381         8.30446e-06
                 120          -0.0321436          -0.0319398         8.41003e-06
                 121          -0.0321511          -0.0319415         8.52002e-06
                 122          -0.0321564          -0.0319433         8.63028e-06
                 123          -0.0321616          -0.0319451         8.74082e-06
                 124          -0.0321693          -0.0319469         8.85549e-06
                 125          -0.0321747          -0.0319487         8.97028e-06
                 126          -0.0321801          -0.0319505         9.08519e-06
                 127          -0.0321879          -0.0319524           9.204e-06
                 128          -0.0321935          -0.0319543         9.32278e-06
                 129           -0.032199          -0.0319562         9.44157e-06
                 130          -0.0322046          -0.0319581         9.56039e-06
                 131          -0.0322102            -0.03196         9.67924e-06
                 132          -0.0322159          -0.0319619         9.79816e-06
                 133          -0.0322217          -0.0319639         9.91716e-06
                 134          -0.0322274          -0.0319659         1.00362e-05
                 135          -0.0322356          -0.0319679         1.01589e-05
                 136          -0.0322415          -0.0319699         1.02815e-05
                 137          -0.0322474          -0.0319719          1.0404e-05
                 138          -0.0322533          -0.0319739         1.05266e-05
                 139          -0.0322617           -0.031976         1.06526e-05
                 140          -0.0322678          -0.0319781         1.07784e-05
                 141          -0.0322739          -0.0319802         1.09041e-05
                 142          -0.0322824          -0.0319823         1.10331e-05
                 143          -0.0322886          -0.0319845         1.11618e-05
                 144          -0.0322948          -0.0319866         1.12904e-05
                 145          -0.0323011          -0.0319888         1.14189e-05
                 146          -0.0323074           -0.031991         1.15473e-05
                 147          -0.0323138          -0.0319932         1.16757e-05
                 148          -0.0323202          -0.0319954          1.1804e-05
                 149          -0.0323266          -0.0319976         1.19323e-05
                 150          -0.0323331          -0.0319998         1.20606e-05
                 151          -0.0323397          -0.0320021         1.21889e-05
                 152          -0.0323463          -0.0320043         1.23173e-05
                 153          -0.0323529          -0.0320066         1.24457e-05
                 154           -0.032362          -0.0320089         1.25769e-05
                 155          -0.0323687          -0.0320113         1.27081e-05
                 156          -0.0323755          -0.0320136         1.28393e-05
                 157          -0.0323846           -0.032016         1.29732e-05
                 158          -0.0323939          -0.0320183         1.31098e-05
                 159          -0.0324008          -0.0320207         1.32462e-05
                 160          -0.0324101          -0.0320232         1.33851e-05
                 161          -0.0324172          -0.0320256         1.35238e-05
                 162          -0.0324242          -0.0320281         1.36623e-05
                 163          -0.0324313          -0.0320306         1.38007e-05
                 164          -0.0324385          -0.0320331         1.39388e-05
                 165           -0.032448          -0.0320356         1.40795e-05
                 166          -0.0324553          -0.0320381         1.42199e-05
                 167           -0.032465          -0.0320407         1.43626e-05
                 168          -0.0324747          -0.0320432         1.45076e-05
