#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        4.432006e-02        4.432006e-02        0.000000e+00
                   2        4.432006e-02        4.432006e-02        6.585445e-10
                   3        4.432005e-02        4.432006e-02        1.472550e-09
                   4        4.432005e-02        4.432005e-02        2.529188e-09
                   5        4.432004e-02        4.432005e-02        3.805909e-09
                   6        4.432002e-02        4.432005e-02        5.233944e-09
                   7        4.432001e-02        4.432004e-02        6.793823e-09
                   8        4.431999e-02        4.432003e-02        8.478361e-09
                   9        4.431997e-02        4.432003e-02        1.028211e-08
                  10        4.431994e-02        4.432002e-02        1.219997e-08
                  11        4.431991e-02        4.432001e-02        1.422295e-08
                  12        4.431988e-02        4.432000e-02        1.634133e-08
                  13        4.431985e-02        4.431999e-02        1.855737e-08
                  14        4.431982e-02        4.431997e-02        2.086290e-08
                  15        4.431978e-02        4.431996e-02        2.325635e-08
                  16        4.431974e-02        4.431995e-02        2.573279e-08
                  17        4.431969e-02        4.431993e-02        2.829083e-08
                  18        4.431964e-02        4.431992e-02        3.092628e-08
                  19        4.431959e-02        4.431990e-02        3.363908e-08
                  20        4.431954e-02        4.431988e-02        3.642650e-08
                  21        4.431948e-02        4.431986e-02        3.928623e-08
                  22        4.431943e-02        4.431984e-02        4.221648e-08
                  23        4.431936e-02        4.431982e-02        4.521535e-08
                  24        4.431930e-02        4.431980e-02        4.828154e-08
                  25        4.431923e-02        4.431978e-02        5.141390e-08
                  26        4.431916e-02        4.431975e-02        5.461050e-08
                  27        4.431909e-02        4.431973e-02        5.787051e-08
                  28        4.431901e-02        4.431970e-02        6.119214e-08
                  29        4.431893e-02        4.431968e-02        6.457477e-08
                  30        4.431885e-02        4.431965e-02        6.801716e-08
                  31        4.431877e-02        4.431962e-02        7.151796e-08
                  32        4.431868e-02        4.431959e-02        7.507660e-08
                  33        4.431859e-02        4.431956e-02        7.869196e-08
                  34        4.431850e-02        4.431953e-02        8.236306e-08
                  35        4.431840e-02        4.431950e-02        8.608939e-08
