#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        9.500000e-01        9.500000e-01        0.000000e+00
                   2        9.500000e-01        9.500000e-01        7.450581e-09
                   3        9.500001e-01        9.500000e-01        1.490116e-08
                   4        9.500001e-01        9.500001e-01        2.580957e-08
                   5        9.500002e-01        9.500001e-01        3.857070e-08
                   6        9.500004e-01        9.500001e-01        5.303362e-08
                   7        9.500005e-01        9.500002e-01        6.874866e-08
                   8        9.500007e-01        9.500003e-01        8.560065e-08
                   9        9.500009e-01        9.500003e-01        1.038340e-07
                  10        9.500012e-01        9.500004e-01        1.231038e-07
                  11        9.500014e-01        9.500005e-01        1.434556e-07
                  12        9.500018e-01        9.500006e-01        1.648134e-07
                  13        9.500021e-01        9.500007e-01        1.871679e-07
                  14        9.500024e-01        9.500008e-01        2.104141e-07
                  15        9.500028e-01        9.500010e-01        2.345060e-07
                  16        9.500033e-01        9.500011e-01        2.594899e-07
                  17        9.500037e-01        9.500013e-01        2.852707e-07
                  18        9.500042e-01        9.500014e-01        3.118582e-07
                  19        9.500047e-01        9.500016e-01        3.391877e-07
                  20        9.500052e-01        9.500018e-01        3.672766e-07
                  21        9.500058e-01        9.500020e-01        3.960939e-07
                  22        9.500064e-01        9.500022e-01        4.256386e-07
                  23        9.500070e-01        9.500024e-01        4.558773e-07
                  24        9.500077e-01        9.500026e-01        4.867934e-07
                  25        9.500083e-01        9.500028e-01        5.183763e-07
                  26        9.500090e-01        9.500031e-01        5.506028e-07
                  27        9.500098e-01        9.500033e-01        5.834685e-07
                  28        9.500105e-01        9.500036e-01        6.169603e-07
                  29        9.500113e-01        9.500038e-01        6.510631e-07
                  30        9.500122e-01        9.500041e-01        6.857719e-07
                  31        9.500130e-01        9.500044e-01        7.210704e-07
                  32        9.500139e-01        9.500047e-01        7.569539e-07
                  33        9.500148e-01        9.500050e-01        7.934060e-07
                  34        9.500157e-01        9.500053e-01        8.304188e-07
                  35        9.500167e-01        9.500057e-01        8.679901e-07
                  36        9.500177e-01        9.500060e-01        9.061028e-07
                  37        9.500187e-01        9.500063e-01        9.447615e-07
                  38        9.500198e-01        9.500067e-01        9.839504e-07
                  39        9.500209e-01        9.500071e-01        1.023657e-06
                  40        9.500220e-01        9.500074e-01        1.063887e-06
                  41        9.500231e-01        9.500078e-01        1.104624e-06
                  42        9.500243e-01        9.500082e-01        1.145867e-06
                  43        9.500255e-01        9.500086e-01        1.187607e-06
                  44        9.500267e-01        9.500090e-01        1.229840e-06
                  45        9.500280e-01        9.500094e-01        1.272558e-06
                  46        9.500292e-01        9.500099e-01        1.315755e-06
                  47        9.500306e-01        9.500103e-01        1.359428e-06
                  48        9.500319e-01        9.500108e-01        1.403574e-06
                  49        9.500333e-01        9.500112e-01        1.448184e-06
                  50        9.500347e-01        9.500117e-01        1.493255e-06
                  51        9.500361e-01        9.500122e-01        1.538780e-06
                  52        9.500376e-01        9.500126e-01        1.584758e-06
                  53        9.500390e-01        9.500131e-01        1.631181e-06
                  54        9.500405e-01        9.500137e-01        1.678048e-06
                  55        9.500421e-01        9.500142e-01        1.725354e-06
                  56        9.500437e-01        9.500147e-01        1.773093e-06
                  57        9.500453e-01        9.500152e-01        1.821265e-06
                  58        9.500469e-01        9.500158e-01        1.869862e-06
                  59        9.500485e-01        9.500163e-01        1.918882e-06
                  60        9.500502e-01        9.500169e-01        1.968323e-06
                  61        9.500520e-01        9.500175e-01        2.018179e-06
                  62        9.500537e-01        9.500181e-01        2.068448e-06
                  63        9.500555e-01        9.500187e-01        2.119126e-06
                  64        9.500573e-01        9.500193e-01        2.170212e-06
                  65        9.500591e-01        9.500199e-01        2.221700e-06
                  66        9.500610e-01        9.500205e-01        2.273588e-06
                  67        9.500628e-01        9.500211e-01        2.325873e-06
                  68        9.500648e-01        9.500218e-01        2.378552e-06
                  69        9.500667e-01        9.500224e-01        2.431622e-06
                  70        9.500687e-01        9.500231e-01        2.485081e-06
                  71        9.500707e-01        9.500237e-01        2.538926e-06
                  72        9.500727e-01        9.500244e-01        2.593155e-06
                  73        9.500748e-01        9.500251e-01        2.647764e-06
                  74        9.500769e-01        9.500258e-01        2.702751e-06
                  75        9.500790e-01        9.500265e-01        2.758114e-06
                  76        9.500811e-01        9.500272e-01        2.813849e-06
                  77        9.500833e-01        9.500280e-01        2.869956e-06
                  78        9.500855e-01        9.500287e-01        2.926432e-06
                  79        9.500877e-01        9.500295e-01        2.983273e-06
                  80        9.500900e-01        9.500302e-01        3.040480e-06
                  81        9.500923e-01        9.500310e-01        3.098047e-06
                  82        9.500946e-01        9.500318e-01        3.155975e-06
                  83        9.500970e-01        9.500325e-01        3.214261e-06
                  84        9.500993e-01        9.500333e-01        3.272902e-06
                  85        9.501018e-01        9.500341e-01        3.331897e-06
                  86        9.501042e-01        9.500350e-01        3.391245e-06
                  87        9.501067e-01        9.500358e-01        3.450942e-06
                  88        9.501091e-01        9.500366e-01        3.510986e-06
                  89        9.501117e-01        9.500375e-01        3.571378e-06
                  90        9.501142e-01        9.500383e-01        3.632114e-06
                  91        9.501168e-01        9.500392e-01        3.693192e-06
                  92        9.501194e-01        9.500400e-01        3.754611e-06
                  93        9.501220e-01        9.500409e-01        3.816370e-06
                  94        9.501247e-01        9.500418e-01        3.878466e-06
                  95        9.501274e-01        9.500427e-01        3.940898e-06
                  96        9.501301e-01        9.500436e-01        4.003665e-06
                  97        9.501329e-01        9.500446e-01        4.066764e-06
                  98        9.501357e-01        9.500455e-01        4.130194e-06
                  99        9.501385e-01        9.500464e-01        4.193955e-06
                 100        9.501413e-01        9.500474e-01        4.258044e-06
                 101        9.501442e-01        9.500483e-01        4.322459e-06
                 102        9.501471e-01        9.500493e-01        4.387200e-06
                 103        9.501500e-01        9.500503e-01        4.452264e-06
                 104        9.501530e-01        9.500513e-01        4.517652e-06
                 105        9.501560e-01        9.500523e-01        4.583360e-06
                 106        9.501590e-01        9.500533e-01        4.649389e-06
                 107        9.501620e-01        9.500543e-01        4.715736e-06
                 108        9.501651e-01        9.500553e-01        4.782400e-06
                 109        9.501682e-01        9.500563e-01        4.849380e-06
                 110        9.501713e-01        9.500574e-01        4.916676e-06
                 111        9.501745e-01        9.500584e-01        4.984285e-06
                 112        9.501777e-01        9.500595e-01        5.052206e-06
                 113        9.501809e-01        9.500606e-01        5.120438e-06
                 114        9.501842e-01        9.500617e-01        5.188981e-06
                 115        9.501874e-01        9.500628e-01        5.257832e-06
                 116        9.501907e-01        9.500639e-01        5.326992e-06
                 117        9.501941e-01        9.500650e-01        5.396458e-06
                 118        9.501974e-01        9.500661e-01        5.466230e-06
                 119        9.502008e-01        9.500672e-01        5.536306e-06
                 120        9.502043e-01        9.500684e-01        5.606686e-06
                 121        9.502077e-01        9.500695e-01        5.677372e-06
                 122        9.502112e-01        9.500707e-01        5.748367e-06
                 123        9.502147e-01        9.500719e-01        5.819669e-06
                 124        9.502183e-01        9.500730e-01        5.891281e-06
                 125        9.502218e-01        9.500742e-01        5.963203e-06
                 126        9.502254e-01        9.500754e-01        6.035435e-06
                 127        9.502291e-01        9.500766e-01        6.107978e-06
                 128        9.502328e-01        9.500779e-01        6.180834e-06
                 129        9.502365e-01        9.500791e-01        6.254000e-06
                 130        9.502402e-01        9.500803e-01        6.327476e-06
                 131        9.502439e-01        9.500816e-01        6.401259e-06
                 132        9.502477e-01        9.500828e-01        6.475347e-06
                 133        9.502516e-01        9.500841e-01        6.549740e-06
                 134        9.502554e-01        9.500854e-01        6.624436e-06
                 135        9.502593e-01        9.500867e-01        6.699435e-06
                 136        9.502632e-01        9.500880e-01        6.774739e-06
                 137        9.502671e-01        9.500893e-01        6.850347e-06
                 138        9.502711e-01        9.500906e-01        6.926257e-06
                 139        9.502751e-01        9.500919e-01        7.002469e-06
                 140        9.502791e-01        9.500933e-01        7.078985e-06
                 141        9.502832e-01        9.500946e-01        7.155803e-06
                 142        9.502873e-01        9.500960e-01        7.232925e-06
                 143        9.502914e-01        9.500973e-01        7.310350e-06
                 144        9.502956e-01        9.500987e-01        7.388076e-06
                 145        9.502998e-01        9.501001e-01        7.466103e-06
                 146        9.503040e-01        9.501015e-01        7.544429e-06
                 147        9.503082e-01        9.501029e-01        7.623052e-06
                 148        9.503125e-01        9.501043e-01        7.701970e-06
