#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1           -0.419355           -0.419355                   0
                   2           -0.404132           -0.411744          0.00538227
                   3           -0.364021           -0.395836            0.013475
                   4           -0.351144           -0.384663           0.0139915
                   5           -0.348687           -0.377468           0.0129114
                   6           -0.391172           -0.379752           0.0109597
                   7           -0.349769           -0.375469           0.0101967
                   8           -0.338577           -0.370857          0.00991017
                   9           -0.347581           -0.368271          0.00914029
                  10           -0.387921           -0.370236          0.00843482
                  11           -0.437869           -0.376384          0.00965222
                  12           -0.434008           -0.381186          0.00997104
                  13           -0.466677           -0.387763            0.011164
                  14           -0.361044           -0.385854           0.0105284
                  15           -0.343484           -0.383029           0.0101984
                  16           -0.322535           -0.379249           0.0102379
                  17           -0.345659           -0.377273          0.00982447
                  18           -0.426806           -0.380025          0.00965638
                  19           -0.442683           -0.383322          0.00969493
                  20           -0.404168           -0.384365          0.00926604
