#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        4.556480e-02        4.556480e-02        0.000000e+00
                   2        4.403963e-02        4.480222e-02        5.392269e-04
                   3        4.440882e-02        4.467108e-02        3.750909e-04
                   4        4.321134e-02        4.430615e-02        4.231114e-04
                   5        4.151856e-02        4.374863e-02        6.026898e-04
                   6        4.320448e-02        4.365794e-02        5.090194e-04
                   7        4.577201e-02        4.395995e-02        5.182080e-04
                   8        4.347781e-02        4.389968e-02        4.569232e-04
                   9        4.370358e-02        4.387789e-02        4.066731e-04
                  10        4.422014e-02        4.391212e-02        3.674431e-04
                  11        4.298400e-02        4.382774e-02        3.435898e-04
                  12        4.714405e-02        4.410410e-02        4.113488e-04
                  13        4.406147e-02        4.410082e-02        3.797197e-04
                  14        4.429717e-02        4.411485e-02        3.528557e-04
                  15        4.873321e-02        4.442274e-02        4.437754e-04
                  16        4.734547e-02        4.460541e-02        4.520751e-04
                  17        4.447881e-02        4.459796e-02        4.255438e-04
                  18        4.364096e-02        4.454479e-02        4.052101e-04
                  19        4.578967e-02        4.461031e-02        3.891443e-04
                  20        4.501116e-02        4.463036e-02        3.702029e-04
