#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1        1.463757e+00        1.463757e+00        0.000000e+00
                   2        1.463835e+00        1.463796e+00        2.780935e-05
                   3        1.463795e+00        1.463796e+00        1.854081e-05
                   4        1.463766e+00        1.463788e+00        1.533168e-05
                   5        1.463743e+00        1.463779e+00        1.472514e-05
                   6        1.463772e+00        1.463778e+00        1.231965e-05
                   7        1.463835e+00        1.463786e+00        1.300142e-05
                   8        1.463843e+00        1.463793e+00        1.320077e-05
                   9        1.463843e+00        1.463799e+00        1.283944e-05
                  10        1.463790e+00        1.463798e+00        1.158745e-05
                  11        1.463691e+00        1.463788e+00        1.401760e-05
                  12        1.463559e+00        1.463769e+00        2.234460e-05
                  13        1.463643e+00        1.463759e+00        2.265185e-05
                  14        1.463836e+00        1.463765e+00        2.167676e-05
                  15        1.463859e+00        1.463771e+00        2.112215e-05
                  16        1.463838e+00        1.463775e+00        2.020695e-05
                  17        1.463728e+00        1.463773e+00        1.920881e-05
                  18        1.463727e+00        1.463770e+00        1.830535e-05
                  19        1.463805e+00        1.463772e+00        1.743413e-05
                  20        1.463791e+00        1.463773e+00        1.658804e-05
