#   N_BLOCK:        ACCEPTANCE:
           1        6.209367e-01
           2        6.209510e-01
           3        6.209024e-01
           4        6.206983e-01
           5        6.207083e-01
           6        6.206896e-01
           7        6.207898e-01
           8        6.207171e-01
           9        6.207074e-01
          10        6.207414e-01
          11        6.206916e-01
          12        6.206855e-01
          13        6.207180e-01
          14        6.207885e-01
          15        6.208263e-01
          16        6.208454e-01
          17        6.208741e-01
          18        6.208265e-01
          19        6.207352e-01
          20        6.206812e-01
