#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1             1.84814             1.84814                   0
                   2             1.84814             1.84814                   0
                   3             1.84814             1.84814                   0
                   4             1.84814             1.84814                   0
                   5             1.84814             1.84814         9.42432e-09
                   6             1.84814             1.84814                   0
                   7             1.84814             1.84814         7.96501e-09
                   8             1.84814             1.84814         7.45058e-09
                   9             1.84814             1.84814         7.02447e-09
                  10             1.84814             1.84814                   0
                  11             1.84814             1.84814         1.10052e-08
                  12             1.84814             1.84814         1.05367e-08
                  13             1.84814             1.84814         1.01233e-08
                  14             1.84814             1.84814          9.7551e-09
                  15             1.84814             1.84814         9.42432e-09
                  16             1.84814             1.84814         9.12506e-09
                  17             1.84814             1.84814         8.85261e-09
                  18             1.84814             1.84814         4.96705e-09
                  19             1.84814             1.84814                   0
                  20             1.84814             1.84814         4.71216e-09
