#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        1.232092e+00        1.232092e+00        0.000000e+00
                   2        1.232092e+00        1.232092e+00        0.000000e+00
                   3        1.232092e+00        1.232092e+00        8.603189e-09
                   4        1.232092e+00        1.232092e+00        0.000000e+00
                   5        1.232092e+00        1.232092e+00        0.000000e+00
                   6        1.232092e+00        1.232092e+00        8.603189e-09
                   7        1.232092e+00        1.232092e+00        7.965006e-09
                   8        1.232092e+00        1.232092e+00        7.450581e-09
                   9        1.232092e+00        1.232092e+00        7.024475e-09
                  10        1.232092e+00        1.232092e+00        6.664002e-09
                  11        1.232092e+00        1.232092e+00        6.353876e-09
                  12        1.232092e+00        1.232092e+00        6.083374e-09
                  13        1.232092e+00        1.232092e+00        5.844716e-09
                  14        1.232092e+00        1.232092e+00        5.632110e-09
                  15        1.232092e+00        1.232092e+00        3.847463e-09
                  16        1.232092e+00        1.232092e+00        3.725290e-09
                  17        1.232092e+00        1.232092e+00        3.614062e-09
                  18        1.232092e+00        1.232092e+00        6.083374e-09
                  19        1.232092e+00        1.232092e+00        5.921121e-09
                  20        1.232092e+00        1.232092e+00        5.771195e-09
