#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1              1.6253              1.6253                   0
                   2             1.66947             1.64738           0.0156151
                   3             1.66137             1.65205           0.0110841
                   4             1.66026              1.6541          0.00850129
                   5             1.69262              1.6618          0.00968204
                   6             1.66252             1.66192           0.0080691
                   7             1.67603             1.66394          0.00716358
                   8             1.65378             1.66267          0.00637966
                   9             1.66195             1.66259          0.00567131
                  10             1.63027             1.65936          0.00595415
                  11             1.67817             1.66107          0.00565307
                  12             1.64591              1.6598          0.00532129
                  13             1.64333             1.65854          0.00506058
                  14             1.70584             1.66192          0.00571667
                  15             1.67364              1.6627          0.00538871
                  16              1.6407             1.66132          0.00522441
                  17             1.70887             1.66412            0.005616
                  18             1.65561             1.66365          0.00532384
                  19             1.64987             1.66292          0.00509281
                  20             1.66863             1.66321          0.00484617
