#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.40062            -5.40062                   0
                   2            -5.44288            -5.42175           0.0149402
                   3            -5.43811             -5.4272           0.0109106
                   4            -5.43487            -5.42912          0.00834933
                   5            -5.46912            -5.43712          0.00978909
                   6            -5.43973            -5.43756          0.00816726
                   7            -5.45047             -5.4394          0.00720591
                   8            -5.42812            -5.43799          0.00644173
                   9            -5.43787            -5.43798            0.005726
                  10            -5.40662            -5.43484           0.0059506
                  11            -5.45473            -5.43665          0.00567759
                  12            -5.42193            -5.43542          0.00533522
                  13            -5.42061            -5.43428          0.00504504
                  14            -5.48177            -5.43768          0.00571227
                  15            -5.45048            -5.43853          0.00539488
                  16            -5.41712            -5.43719            0.005221
                  17            -5.48543            -5.44003          0.00563245
                  18            -5.43192            -5.43958          0.00533754
                  19            -5.42713            -5.43892          0.00509667
                  20            -5.44412            -5.43918          0.00484845
