#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        1.492979e+00        1.492979e+00        0.000000e+00
                   2        1.499468e+00        1.496224e+00        2.293896e-03
                   3        1.403817e+00        1.465421e+00        2.519624e-02
                   4        1.393046e+00        1.447327e+00        2.454887e-02
                   5        1.164474e+00        1.390757e+00        5.427605e-02
                   6        1.323538e+00        1.379554e+00        4.637184e-02
                   7        1.291399e+00        1.366960e+00        4.142208e-02
                   8        1.334601e+00        1.362915e+00        3.644128e-02
                   9        1.336780e+00        1.360011e+00        3.250775e-02
                  10        1.496924e+00        1.373703e+00        3.201059e-02
                  11        1.260765e+00        1.363436e+00        3.070294e-02
                  12        1.400088e+00        1.366490e+00        2.829588e-02
                  13        1.401677e+00        1.369197e+00        2.624841e-02
                  14        1.294387e+00        1.363853e+00        2.491149e-02
                  15        1.406971e+00        1.366728e+00        2.341598e-02
                  16        1.506644e+00        1.375472e+00        2.352877e-02
                  17        1.276539e+00        1.369653e+00        2.285310e-02
                  18        1.456551e+00        1.374480e+00        2.208752e-02
                  19        1.401107e+00        1.375882e+00        2.096943e-02
                  20        1.434527e+00        1.378814e+00        2.012493e-02
