#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -3.775320e+00       -3.775320e+00        0.000000e+00
                   2       -3.773412e+00       -3.774366e+00        6.748984e-04
                   3       -3.776745e+00       -3.775159e+00        7.885240e-04
                   4       -3.774603e+00       -3.775020e+00        6.035305e-04
                   5       -3.776502e+00       -3.775316e+00        5.507910e-04
                   6       -3.777214e+00       -3.775633e+00        5.422031e-04
                   7       -3.774442e+00       -3.775463e+00        4.906828e-04
                   8       -3.774336e+00       -3.775322e+00        4.490906e-04
                   9       -3.775919e+00       -3.775388e+00        4.040612e-04
                  10       -3.776343e+00       -3.775484e+00        3.747631e-04
                  11       -3.776559e+00       -3.775581e+00        3.532204e-04
                  12       -3.776028e+00       -3.775619e+00        3.257435e-04
                  13       -3.777278e+00       -3.775746e+00        3.247208e-04
                  14       -3.775936e+00       -3.775760e+00        3.018082e-04
                  15       -3.776844e+00       -3.775832e+00        2.902185e-04
                  16       -3.776424e+00       -3.775869e+00        2.744262e-04
                  17       -3.776563e+00       -3.775910e+00        2.613050e-04
                  18       -3.776303e+00       -3.775932e+00        2.476986e-04
                  19       -3.777264e+00       -3.776002e+00        2.443869e-04
                  20       -3.775487e+00       -3.775976e+00        2.335197e-04
