#   N_BLOCK:        ACCEPTANCE:
           1        5.116080e-01
           2        5.116276e-01
           3        5.115937e-01
           4        5.115561e-01
           5        5.113653e-01
           6        5.114992e-01
           7        5.114823e-01
           8        5.114904e-01
           9        5.114173e-01
          10        5.112466e-01
          11        5.112558e-01
          12        5.113843e-01
          13        5.114558e-01
          14        5.113233e-01
          15        5.114190e-01
          16        5.113309e-01
          17        5.114872e-01
          18        5.113243e-01
          19        5.112006e-01
          20        5.113013e-01
