#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        1.108804e+00        1.108804e+00        0.000000e+00
                   2        1.108804e+00        1.108804e+00        0.000000e+00
                   3        1.108804e+00        1.108804e+00        0.000000e+00
                   4        1.108804e+00        1.108804e+00        0.000000e+00
                   5        1.108804e+00        1.108804e+00        0.000000e+00
                   6        1.108804e+00        1.108804e+00        0.000000e+00
                   7        1.108804e+00        1.108804e+00        0.000000e+00
                   8        1.108804e+00        1.108804e+00        0.000000e+00
                   9        1.108804e+00        1.108804e+00        0.000000e+00
                  10        1.108804e+00        1.108804e+00        0.000000e+00
                  11        1.108804e+00        1.108804e+00        0.000000e+00
                  12        1.108804e+00        1.108804e+00        0.000000e+00
                  13        1.108804e+00        1.108804e+00        0.000000e+00
                  14        1.108804e+00        1.108804e+00        0.000000e+00
                  15        1.108804e+00        1.108804e+00        3.847463e-09
                  16        1.108804e+00        1.108804e+00        3.725290e-09
                  17        1.108804e+00        1.108804e+00        3.614062e-09
                  18        1.108804e+00        1.108804e+00        4.967054e-09
                  19        1.108804e+00        1.108804e+00        4.834575e-09
                  20        1.108804e+00        1.108804e+00        4.712161e-09
