#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        7.907571e+00        7.907571e+00        0.000000e+00
                   2        7.891294e+00        7.899432e+00        5.754823e-03
                   3        7.904769e+00        7.901211e+00        4.102260e-03
                   4        7.884106e+00        7.896935e+00        4.814695e-03
                   5        7.861644e+00        7.889877e+00        7.395213e-03
                   6        7.876243e+00        7.887604e+00        6.502434e-03
                   7        7.907519e+00        7.890449e+00        6.164517e-03
                   8        7.903070e+00        7.892027e+00        5.592164e-03
                   9        7.885996e+00        7.891357e+00        5.010801e-03
                  10        7.888354e+00        7.891056e+00        4.518707e-03
                  11        7.894974e+00        7.891413e+00        4.121925e-03
                  12        7.867974e+00        7.889459e+00        4.215886e-03
                  13        7.877693e+00        7.888554e+00        3.987570e-03
                  14        7.901762e+00        7.889498e+00        3.812716e-03
                  15        7.850880e+00        7.886923e+00        4.341595e-03
                  16        7.874990e+00        7.886177e+00        4.133806e-03
                  17        7.893282e+00        7.886595e+00        3.911709e-03
                  18        7.860911e+00        7.885168e+00        3.946070e-03
                  19        7.909968e+00        7.886474e+00        3.948355e-03
                  20        7.901052e+00        7.887203e+00        3.817627e-03
