#   N_BLOCK:        ACCEPTANCE:
           1        5.093302e-01
           2        5.092731e-01
           3        5.091620e-01
           4        5.091538e-01
           5        5.091866e-01
           6        5.091511e-01
           7        5.091007e-01
           8        5.090267e-01
           9        5.089401e-01
          10        5.088812e-01
          11        5.089091e-01
          12        5.089308e-01
          13        5.088426e-01
          14        5.088399e-01
          15        5.088248e-01
          16        5.086772e-01
          17        5.086702e-01
          18        5.086393e-01
          19        5.086161e-01
          20        5.086220e-01
