#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1             1.19977             1.19977                   0
                   2             1.19977             1.19977                   0
                   3             1.19977             1.19977         8.60319e-09
                   4             1.19977             1.19977                   0
                   5             1.19977             1.19977                   0
                   6             1.19977             1.19977         6.08337e-09
                   7             1.19977             1.19977         5.63211e-09
                   8             1.19977             1.19977         5.26836e-09
                   9             1.19977             1.19977         4.96705e-09
                  10             1.19977             1.19977         4.71216e-09
                  11             1.19977             1.19977         4.49287e-09
                  12             1.19977             1.19977         4.30159e-09
                  13             1.19977             1.19977                   0
                  14             1.19977             1.19977                   0
                  15             1.19977             1.19977         3.84746e-09
                  16             1.19977             1.19977         3.72529e-09
                  17             1.19977             1.19977         3.61406e-09
                  18             1.19977             1.19977         4.96705e-09
                  19             1.19977             1.19977         4.83458e-09
                  20             1.19977             1.19977         4.71216e-09
