#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -7.56795            -7.56795                   0
                   2            -7.54974            -7.55884          0.00643719
                   3            -7.53616            -7.55128          0.00751902
                   4            -7.54136             -7.5488          0.00603481
                   5            -7.55315            -7.54967          0.00489012
                   6            -7.54778            -7.54936          0.00408527
                   7            -7.53642            -7.54751          0.00389713
                   8            -7.54893            -7.54769          0.00341406
                   9            -7.54305            -7.54717          0.00307335
                  10            -7.54745             -7.5472          0.00276615
                  11            -7.55424            -7.54784          0.00258775
                  12            -7.55926            -7.54879          0.00254099
                  13            -7.52813             -7.5472          0.00279895
                  14            -7.55249            -7.54758          0.00262443
                  15            -7.55865            -7.54832          0.00255117
                  16            -7.53657            -7.54758          0.00249519
                  17            -7.55282            -7.54789          0.00236737
                  18            -7.55176            -7.54811          0.00224561
                  19            -7.54772            -7.54809          0.00212751
                  20            -7.55113            -7.54824          0.00202659
