#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        7.998485e-01        7.998485e-01        0.000000e+00
                   2        7.998485e-01        7.998485e-01        0.000000e+00
                   3        7.998485e-01        7.998485e-01        8.603189e-09
                   4        7.998485e-01        7.998485e-01        0.000000e+00
                   5        7.998485e-01        7.998485e-01        0.000000e+00
                   6        7.998485e-01        7.998485e-01        4.301595e-09
                   7        7.998485e-01        7.998485e-01        3.982503e-09
                   8        7.998485e-01        7.998485e-01        3.725290e-09
                   9        7.998485e-01        7.998485e-01        3.512237e-09
                  10        7.998485e-01        7.998485e-01        0.000000e+00
                  11        7.998485e-01        7.998485e-01        0.000000e+00
                  12        7.998485e-01        7.998485e-01        0.000000e+00
                  13        7.998485e-01        7.998485e-01        0.000000e+00
                  14        7.998485e-01        7.998485e-01        0.000000e+00
                  15        7.998485e-01        7.998485e-01        0.000000e+00
                  16        7.998485e-01        7.998485e-01        0.000000e+00
                  17        7.998485e-01        7.998485e-01        0.000000e+00
                  18        7.998485e-01        7.998485e-01        0.000000e+00
                  19        7.998485e-01        7.998485e-01        0.000000e+00
                  20        7.998485e-01        7.998485e-01        0.000000e+00
