#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -6.368175e+00       -6.368175e+00        0.000000e+00
                   2       -6.349968e+00       -6.359072e+00        6.437187e-03
                   3       -6.336387e+00       -6.351510e+00        7.519019e-03
                   4       -6.341585e+00       -6.349029e+00        6.034812e-03
                   5       -6.353378e+00       -6.349899e+00        4.890125e-03
                   6       -6.348005e+00       -6.349583e+00        4.085270e-03
                   7       -6.336650e+00       -6.347735e+00        3.897134e-03
                   8       -6.349159e+00       -6.347913e+00        3.414055e-03
                   9       -6.343276e+00       -6.347398e+00        3.073354e-03
                  10       -6.347682e+00       -6.347427e+00        2.766150e-03
                  11       -6.354471e+00       -6.348067e+00        2.587755e-03
                  12       -6.359484e+00       -6.349018e+00        2.540992e-03
                  13       -6.328353e+00       -6.347429e+00        2.798952e-03
                  14       -6.352720e+00       -6.347807e+00        2.624425e-03
                  15       -6.358879e+00       -6.348545e+00        2.551166e-03
                  16       -6.336794e+00       -6.347810e+00        2.495186e-03
                  17       -6.353050e+00       -6.348119e+00        2.367372e-03
                  18       -6.351991e+00       -6.348334e+00        2.245607e-03
                  19       -6.347945e+00       -6.348313e+00        2.127511e-03
                  20       -6.351362e+00       -6.348466e+00        2.026589e-03
