           beta           mean          sigma           E           errE
          10.05       0.604781       0.596609      -0.315035     0.00176522
        10.1002       0.606693       0.587364      -0.313412     0.00195059
        10.1508        0.61532       0.582392      -0.322779     0.00180981
        10.2015       0.612506        0.58484      -0.317042     0.00182413
        10.2525       0.619906        0.59464      -0.332082     0.00205379
        10.3038       0.622641       0.585359      -0.329267     0.00162092
        10.3553       0.618972       0.586226      -0.325981     0.00154775
        10.4071       0.615958       0.588266      -0.322953     0.00173206
        10.4591       0.617125       0.588807      -0.324993      0.0017336
        10.5114       0.622662        0.59061      -0.331577     0.00178327
         10.564       0.622309       0.586152      -0.330595     0.00162307
        10.6168       0.622697       0.579941      -0.329202     0.00187848
        10.6699       0.629128       0.580106      -0.336939      0.0015388
        10.7232       0.619863       0.589454      -0.330347     0.00188748
        10.7768       0.617398       0.585266      -0.328331     0.00172306
        10.8307       0.617794       0.593958      -0.328166     0.00166232
        10.8849       0.620282       0.586622      -0.327888     0.00174771
        10.9393       0.617591       0.586018      -0.326705     0.00196301
         10.994       0.617479       0.594708      -0.330233     0.00180672
         11.049       0.607492       0.584731      -0.314205     0.00154051
        11.1042       0.617071       0.591849      -0.326151     0.00174294
        11.1597       0.613297       0.590122      -0.324067     0.00165535
        11.2155       0.622937       0.580561      -0.328403      0.0019374
        11.2716       0.623327       0.589558      -0.333625     0.00187596
         11.328        0.62428       0.581796      -0.329155     0.00177707
        11.3846        0.62978       0.587298      -0.338111     0.00182223
        11.4415       0.635455       0.594011      -0.346695     0.00147045
        11.4987       0.639781        0.58745      -0.350125     0.00150518
        11.5562       0.640353       0.584861      -0.346799     0.00163818
         11.614       0.641884       0.590806      -0.354815     0.00157998
        11.6721       0.651324       0.595184      -0.364903     0.00151704
        11.7891       0.647428       0.594218      -0.360977     0.00184788
         11.848       0.654462       0.602631      -0.370331     0.00142627
        11.9073       0.648874       0.606303      -0.366707     0.00146411
        11.9668       0.652108       0.608375       -0.36784     0.00134962
        12.0266       0.650551        0.60684      -0.368024     0.00132937
        12.1472       0.650029       0.609695       -0.36607     0.00141311
        12.2079       0.648198       0.602446      -0.364092     0.00138905
         12.269       0.646284         0.6028       -0.36299     0.00169777
        12.3303       0.640401       0.611941      -0.358512     0.00132106
         12.392       0.638767       0.606439      -0.357857     0.00158932
        12.4539        0.63936       0.597874      -0.353736     0.00161906
        12.5162       0.639235       0.596418      -0.351072     0.00165102
        12.5788       0.645195       0.605924       -0.36249     0.00167066
        12.6417       0.650373       0.612964      -0.368406     0.00158136
        12.7049       0.647187       0.621291      -0.368028     0.00143685
        12.8323       0.642676       0.625871      -0.364031     0.00149668
        12.8964       0.645631       0.616038      -0.361475     0.00154863
        12.9609         0.6484       0.615415      -0.366143      0.0014117
        13.0257       0.644076       0.616994      -0.365889      0.0015575
        13.0908       0.653659       0.623841      -0.374889     0.00140583
        13.1563       0.655669       0.616021       -0.37366     0.00124169
        13.2221       0.649104       0.616643      -0.367817     0.00159333
        13.2882       0.644759       0.611224      -0.364086     0.00169358
        13.3546       0.637972       0.610429      -0.354912     0.00133785
        13.4214       0.629901       0.608854      -0.348899     0.00142785
        13.4885       0.632409       0.605883      -0.349481     0.00160011
        13.5559       0.635305       0.607573      -0.351995     0.00174612
        13.6237        0.63683       0.614203      -0.352675     0.00162089
        13.6918       0.632862       0.609589      -0.348685     0.00131912
        13.7603         0.6256        0.60763      -0.343995     0.00146519
        13.8291       0.631099       0.611516      -0.348182     0.00137619
        13.8982       0.637569       0.611507      -0.354206     0.00149129
        13.9677       0.635555       0.614297      -0.354639     0.00164206
        14.0376       0.630772       0.621874      -0.347688     0.00159622
        14.1078       0.636365       0.621463      -0.355854     0.00134819
        14.1783       0.628533       0.629819      -0.347787     0.00162723
        14.2492       0.627436       0.627679       -0.34804     0.00178121
        14.3204       0.637283       0.636277      -0.358893     0.00144024
         14.392       0.644505        0.62653      -0.366114     0.00133122
        14.5363       0.644432       0.630217      -0.365435     0.00156061
         14.609       0.653737       0.636188      -0.372537     0.00160061
        14.6821       0.649496       0.640518      -0.371658     0.00162007
        14.7555       0.649015       0.640489      -0.368721     0.00140348
        14.8292       0.640679       0.645171      -0.363158     0.00153529
        14.9034       0.645055       0.650165      -0.366504     0.00139925
        14.9779       0.653247       0.642414      -0.371777     0.00138842
        15.0528       0.659509       0.632592      -0.380177     0.00129999
        15.1281       0.667368       0.632613      -0.387156     0.00131008
        15.2037       0.657867       0.638183       -0.37828     0.00164743
        15.2797       0.649109       0.638673      -0.368417     0.00145334
        15.3561       0.650605       0.635407      -0.371262     0.00123655
        15.4329       0.659335       0.632956      -0.377998     0.00155545
        15.5101       0.661883       0.638123      -0.380822     0.00132474
        15.5876       0.653344       0.628849      -0.372364     0.00130461
        15.6655       0.657194       0.629874      -0.377495       0.001503
        15.7439       0.647346       0.620144      -0.365796     0.00149204
        15.8226       0.647048       0.611223      -0.366656     0.00153039
        15.9017       0.644921       0.610268      -0.362824       0.001426
        15.9812       0.636519       0.616348      -0.356631     0.00134358
        16.0611       0.640625       0.610259      -0.358022     0.00163269
        16.1414       0.637076       0.617589      -0.355895     0.00165206
        16.2221       0.627321       0.609515      -0.346424     0.00180867
        16.3032       0.620628       0.613554      -0.339973      0.0017653
        16.3848       0.615235       0.609076      -0.330655     0.00161469
        16.4667       0.619273       0.603093      -0.335548     0.00169924
         16.549       0.622117       0.611358      -0.340148     0.00148519
        16.6318       0.615091        0.60759      -0.334496     0.00157868
        16.7149       0.611321        0.60545      -0.326731     0.00165153
        16.7985       0.609646       0.600788        -0.3206      0.0015946
        16.8825       0.612176       0.595677      -0.327042     0.00171504
        16.9669       0.618853       0.596191      -0.330261      0.0017442
        17.0517       0.622308       0.601436      -0.337842        0.00187
         17.137       0.625326       0.607645      -0.342179     0.00151746
        17.2227       0.617078       0.606984      -0.331544     0.00181588
        17.3088       0.610637       0.598193      -0.319699     0.00173272
        17.3953       0.602422       0.605066      -0.314922     0.00184004
        17.4823       0.597822       0.595198      -0.306926     0.00207888
        17.5697       0.594989       0.601862      -0.307997     0.00181572
        17.7459         0.5928       0.603289      -0.303265     0.00194673
        17.8346        0.59006       0.600735      -0.301258     0.00175542
        17.9238       0.583917       0.602744       -0.29298     0.00200144
        18.0134       0.579334       0.604733      -0.283705     0.00191597
        18.1035       0.581157       0.601924      -0.285958     0.00157269
         18.194        0.58771       0.608308      -0.301802     0.00186454
        18.2849       0.584444       0.599171      -0.294391     0.00202385
        18.3764       0.578655       0.605358       -0.29056     0.00201153
        18.4682       0.585295       0.608957      -0.295547     0.00198669
        18.5606       0.594636       0.613823       -0.31056      0.0020025
        18.6534         0.5974       0.612842      -0.312622     0.00188589
        18.7467       0.588362       0.605556      -0.299409     0.00196212
        18.8404       0.582281       0.603355      -0.289363     0.00195642
        18.9346        0.58437       0.597681       -0.29205     0.00189979
        19.0293       0.589134       0.607009      -0.302117     0.00178844
        19.1244       0.586984       0.606766      -0.299328     0.00182263
          19.22       0.586433       0.614311      -0.301732     0.00176656
        19.3161       0.583776       0.613829      -0.297734     0.00215774
        19.4127       0.577151       0.612815      -0.287452     0.00218812
        19.5098        0.57477       0.610146       -0.28653     0.00193442
        19.6073       0.569608       0.617161      -0.280537     0.00212133
        19.7054       0.565147       0.612652      -0.271499     0.00205301
        19.8039       0.570214       0.620513      -0.281172     0.00201214
        19.9029       0.566665       0.623927      -0.279984      0.0021725
        20.0024       0.566265       0.633234      -0.284924     0.00219412
        20.1024       0.565112       0.639999      -0.285988     0.00219532
        20.2029       0.571668       0.631231      -0.286801     0.00226645
         20.304       0.567798       0.629805      -0.284773     0.00211112
        20.4055       0.570206       0.632765      -0.286508     0.00200875
        20.5075       0.567321        0.63736      -0.283242     0.00212557
          20.61       0.576463       0.643207      -0.298837     0.00199858
        20.7131       0.572143       0.644149      -0.293637     0.00219868
        20.8167       0.575428       0.634892      -0.291824     0.00211721
        20.9207       0.571876       0.628748      -0.286027     0.00200955
        21.0253       0.579784       0.626985      -0.293846     0.00224085
        21.1305       0.573516       0.635087      -0.289061     0.00200945
        21.2361       0.570595       0.634163      -0.284565     0.00198422
        21.3423       0.571788        0.62839      -0.287436     0.00212311
