           beta           mean          sigma           E           errE
             11       0.604781       0.596609      -0.315035     0.00176522
             12       0.606693       0.587364      -0.313412     0.00195059
             13        0.61532       0.582392      -0.322779     0.00180981
             14       0.612506        0.58484      -0.317042     0.00182413
             15       0.619906        0.59464      -0.332082     0.00205379
             16       0.622641       0.585359      -0.329267     0.00162092
             17       0.618972       0.586226      -0.325981     0.00154775
             18       0.615958       0.588266      -0.322953     0.00173206
             19       0.617125       0.588807      -0.324993      0.0017336
             20       0.622662        0.59061      -0.331577     0.00178327
             21       0.622309       0.586152      -0.330595     0.00162307
             22       0.622697       0.579941      -0.329202     0.00187848
             23       0.629128       0.580106      -0.336939      0.0015388
             24       0.619863       0.589454      -0.330347     0.00188748
             25       0.617398       0.585266      -0.328331     0.00172306
             26       0.617794       0.593958      -0.328166     0.00166232
             27       0.620282       0.586622      -0.327888     0.00174771
             28       0.617591       0.586018      -0.326705     0.00196301
             29       0.617479       0.594708      -0.330233     0.00180672
             30       0.607492       0.584731      -0.314205     0.00154051
             31       0.617071       0.591849      -0.326151     0.00174294
             33       0.621891       0.587068       -0.33203     0.00170075
             34       0.613911       0.596512       -0.32489     0.00162188
             36       0.612785       0.599127      -0.323988      0.0017376
             37       0.616052       0.592447      -0.326338      0.0017575
             38       0.614832       0.583296      -0.321357     0.00160724
             40       0.610933       0.584639      -0.313462      0.0018489
             41         0.6086       0.575857      -0.311442     0.00192624
             43       0.608401       0.575889      -0.308441     0.00171082
             44       0.600836        0.57481      -0.300953     0.00213748
             45       0.599755       0.580599      -0.300801      0.0016963
             46        0.59742       0.576642      -0.298296      0.0018925
             47       0.594194       0.572949      -0.291796     0.00197042
             48       0.593737       0.566119      -0.287365     0.00209076
             49       0.586994       0.574353      -0.278726     0.00213699
             50       0.591107       0.573029      -0.285529     0.00198617
             51       0.586243       0.566238      -0.278228     0.00204235
             54       0.583527       0.566975      -0.274553     0.00200118
             55       0.582729       0.576043      -0.275973     0.00218783
             57       0.583912       0.578337       -0.27897     0.00175404
             58       0.578669       0.576787      -0.273515     0.00203921
             59       0.584193       0.577749      -0.279266     0.00161383
             60       0.588483       0.580808      -0.286469     0.00190516
             62       0.589608       0.578996      -0.289106     0.00192691
             63       0.593421       0.570561      -0.292712     0.00208748
             65       0.590448       0.566114      -0.282811     0.00215027
             66       0.598372       0.570719       -0.29589     0.00193129
             67       0.597675       0.579671      -0.300591     0.00209908
