           beta           mean          sigma           E           errE
          100.2       0.604781       0.596609      -0.315035     0.00176522
          100.4       0.606693       0.587364      -0.313412     0.00195059
        100.601        0.61532       0.582392      -0.322779     0.00180981
        100.802       0.612506        0.58484      -0.317042     0.00182413
        101.002       0.619906        0.59464      -0.332082     0.00205379
        101.204       0.622641       0.585359      -0.329267     0.00162092
        101.405       0.618972       0.586226      -0.325981     0.00154775
        101.606       0.615958       0.588266      -0.322953     0.00173206
        101.808       0.617125       0.588807      -0.324993      0.0017336
         102.01       0.622662        0.59061      -0.331577     0.00178327
        102.212       0.622309       0.586152      -0.330595     0.00162307
        102.414       0.622697       0.579941      -0.329202     0.00187848
        102.617       0.629128       0.580106      -0.336939      0.0015388
         102.82       0.619863       0.589454      -0.330347     0.00188748
        103.226       0.620061       0.593801      -0.331723     0.00174474
        103.429       0.619337        0.59669      -0.330755     0.00163249
        103.632       0.618562        0.59999      -0.333688     0.00174066
        103.836       0.617282       0.597845      -0.328983     0.00178762
         104.04       0.621828       0.601907      -0.337465     0.00161684
        104.244       0.630358       0.593448      -0.343603     0.00174188
        104.448       0.627172       0.598834      -0.341702     0.00155469
        104.653       0.635469        0.58898      -0.344379     0.00166322
        105.062       0.639769       0.585599      -0.346835     0.00179483
        105.268       0.645625       0.594785      -0.359612      0.0015195
        105.473       0.653888       0.595949      -0.368679     0.00174056
        106.296       0.655748       0.597574      -0.368434     0.00125792
        106.502       0.646231       0.604743      -0.363561     0.00147339
        106.709       0.646681       0.601426      -0.361182     0.00160788
        106.916        0.65578        0.59834      -0.371551     0.00144935
         107.33       0.655162       0.598907      -0.369426     0.00146553
        107.537       0.648161       0.593958       -0.36064     0.00161449
        107.744       0.654663       0.589374      -0.366305     0.00149009
        107.952       0.651448       0.596067      -0.363255     0.00139826
         108.16       0.643911       0.594683      -0.356789      0.0015231
        108.368       0.648554       0.601397      -0.365278      0.0014007
        108.576       0.657875       0.592066      -0.371477      0.0014576
        108.785        0.66751       0.592225      -0.378639      0.0015375
        108.994       0.669734       0.587769      -0.380317     0.00114153
        109.202       0.678207       0.581597      -0.385915     0.00169107
        109.412       0.680179       0.591152      -0.387699     0.00146651
        109.621       0.676659       0.597068      -0.390859     0.00128747
         110.04       0.681056       0.594353      -0.391253     0.00139717
         110.25       0.687522       0.588688      -0.393191     0.00135564
         110.67       0.686041       0.585352      -0.392595     0.00128671
        110.881       0.687975       0.584141      -0.392112      0.0013659
        111.092       0.694493       0.588725      -0.398722     0.00128013
        111.302       0.694241       0.589006      -0.397155     0.00139987
        111.514       0.690797       0.593122       -0.39786     0.00139206
        111.725       0.686055       0.600794      -0.399215     0.00134536
        111.936       0.695948       0.599441      -0.405074     0.00123504
        112.148       0.686975       0.601892      -0.397569      0.0013224
         112.36       0.695877       0.605755      -0.405285     0.00124103
        112.784       0.700565       0.607331      -0.408655     0.00137242
        112.997        0.70686       0.604722      -0.412025     0.00134995
         113.21       0.715161       0.599353      -0.414189     0.00130207
        113.422       0.720014       0.602951      -0.419932     0.00117599
        113.636       0.727508       0.606444      -0.425692     0.00124044
        113.849       0.720322       0.598235      -0.419636     0.00117179
        114.062       0.715428       0.592303      -0.413263     0.00128122
        114.276       0.716101       0.595428      -0.416973     0.00126174
         114.49       0.726066       0.589184      -0.418929     0.00123914
        114.704       0.719566        0.59095      -0.414126     0.00148785
        114.918       0.712905       0.593447      -0.413297     0.00123128
        115.133       0.709528       0.599319      -0.415502     0.00126644
        115.348       0.715353       0.607719      -0.417145     0.00113398
        115.562       0.719287       0.604492      -0.418015     0.00130607
        115.778       0.727529        0.61024      -0.424162      0.0012255
        115.993       0.728164       0.618113      -0.426906     0.00120802
        116.208       0.735635       0.624268      -0.429309     0.00118384
        116.424       0.731967       0.616552      -0.426862     0.00131283
         116.64       0.735644       0.621742       -0.42965     0.00104218
        117.072       0.736652       0.620312      -0.429841     0.00109145
        117.289       0.728753       0.615292       -0.42556     0.00112029
        117.506       0.733284       0.620706       -0.42863     0.00102341
        117.722       0.742315       0.612244      -0.432606     0.00113306
        118.157       0.737666       0.610444      -0.431893     0.00112127
        118.592       0.740104       0.613937      -0.430584     0.00128001
         118.81        0.73999       0.614309      -0.429922     0.00134916
        119.246       0.738899       0.617529      -0.430248     0.00106517
        119.684       0.734368        0.62039      -0.428639     0.00120402
        119.902       0.728142        0.62408      -0.426796     0.00118033
        120.122        0.72449        0.62652      -0.425815     0.00117737
        120.341       0.721479       0.622659      -0.422492     0.00116475
         120.56       0.716456       0.629308      -0.422511     0.00110472
         120.78       0.709813       0.625326      -0.416025     0.00106101
            121       0.718717       0.625071      -0.421919     0.00113393
         121.22       0.723664       0.621952      -0.422662     0.00111436
         121.44       0.720927       0.622733       -0.42448     0.00111264
        122.324       0.719043       0.622057      -0.422632     0.00102758
        122.766       0.721393       0.617229      -0.424061     0.00113305
        123.432       0.721796        0.61837      -0.420742     0.00111492
        123.654       0.719489       0.613355      -0.421399     0.00126653
        123.877        0.71342       0.619579      -0.419366     0.00123405
          124.1       0.721945       0.624285      -0.420283     0.00120507
        124.322       0.713834        0.62749      -0.419368     0.00107437
        124.546       0.720469       0.628788      -0.422214     0.00127618
        124.769       0.712487       0.625899       -0.41499     0.00118849
        124.992        0.71767       0.617975      -0.419342      0.0011897
        125.216       0.719588       0.611551      -0.422049     0.00108205
         125.44       0.722203       0.605058      -0.422232     0.00113535
        125.664       0.723099       0.603295      -0.420541     0.00120869
        126.338        0.72177       0.604271      -0.420619     0.00122648
        126.562        0.72679       0.607841      -0.425021     0.00125286
        126.788       0.727073          0.598      -0.422398     0.00105845
        127.013        0.71811       0.595527      -0.415871     0.00125235
        127.238       0.722627       0.600856      -0.420769     0.00130226
         127.69       0.718899       0.603378      -0.420073     0.00116537
        127.916       0.717213       0.611135       -0.41836     0.00119404
        128.142       0.720948       0.611885      -0.422929     0.00126344
        128.369       0.723467       0.617032      -0.424079     0.00104341
         129.05       0.724113       0.617699      -0.426359      0.0010491
        129.277       0.715013       0.609133      -0.417374     0.00108721
        129.732       0.720004       0.613435      -0.419493     0.00122026
         129.96       0.711037       0.616143      -0.417756     0.00117846
        130.416       0.715445       0.613994      -0.417189     0.00111098
        130.645       0.724807       0.609013      -0.423875     0.00120378
        131.102       0.720798       0.606914      -0.420208     0.00114723
        131.332        0.72844       0.614666      -0.426985     0.00103725
        131.561       0.722466       0.609657      -0.424469     0.00120208
         131.79       0.727907       0.610471      -0.424867     0.00114576
         132.02       0.721693       0.617852      -0.425263     0.00102648
         132.48       0.721108       0.619207      -0.423311      0.0012306
         132.71       0.724563       0.617411      -0.426496     0.00109791
        133.172       0.724535        0.61923      -0.425651     0.00108848
        133.402       0.733806       0.623477       -0.42837      0.0011964
        133.634       0.734408       0.631471      -0.428472      0.0010776
        133.865       0.739082       0.634822      -0.430012     0.00103154
        134.096       0.734179       0.631792      -0.427285     0.00123279
        134.328       0.736921       0.637221      -0.427177     0.00129284
         134.56       0.731179       0.645939      -0.425594     0.00141898
        135.024       0.732638        0.64783      -0.424221     0.00111926
        135.257       0.726959        0.64243      -0.424191     0.00114259
         135.49       0.721479       0.635391      -0.420983     0.00128173
        135.722       0.716046       0.630418      -0.420542     0.00121883
        135.956       0.711146       0.629438      -0.415893     0.00106836
        136.189       0.706991       0.621028      -0.414711      0.0012921
        136.422       0.710048       0.630457      -0.413899     0.00130501
        136.656       0.706024       0.626847      -0.414542     0.00113962
         136.89       0.707239       0.631545      -0.414323     0.00110192
        137.124       0.709741       0.630936       -0.41672     0.00120887
        137.358       0.719596       0.638577      -0.420313     0.00126002
        137.593       0.718043       0.632027      -0.420399     0.00123239
        137.828        0.71836       0.627915      -0.421132     0.00123024
        138.062       0.724162       0.636355       -0.42278     0.00115468
        138.298       0.731136       0.642938      -0.424513     0.00132296
        138.533       0.735433       0.651403      -0.427514     0.00121884
        139.004       0.735848       0.650561      -0.427456     0.00125165
        139.476        0.74044       0.654644      -0.426049     0.00134612
        139.712       0.746836       0.658292      -0.424547     0.00147017
        140.186       0.751559       0.656688      -0.427566     0.00133736
        140.422       0.751962        0.64828      -0.429887     0.00130524
